Algorithm,Graph Type,Number of Nodes,Final Fitness,Plato,Time,Seed,Fitness List,Final State
Genetic,complete,8,6,62,0.6866140365600586,616652,"[8, 8, 8, 7, 7, 7, 6, 6, 6, 6, 6, 6, 6]","{0: [2, 5, 1, 4, 6, 7, 3], 1: [0, 6, 4, 7, 3, 5, 2], 2: [0, 6, 1, 5, 7, 3, 4], 3: [5, 4, 2, 6, 0, 1, 7], 4: [2, 3, 1, 0, 7, 6, 5], 5: [1, 3, 2, 7, 6, 0, 4], 6: [0, 3, 5, 2, 1, 7, 4], 7: [0, 4, 3, 5, 6, 2, 1]}"
Genetic,complete,8,6,46,0.5092089176177979,319878,"[7, 7, 7, 7, 7, 7, 6, 6, 6, 6, 6, 6]","{0: [6, 2, 4, 1, 3, 5, 7], 1: [3, 0, 4, 5, 6, 7, 2], 2: [6, 3, 4, 1, 5, 7, 0], 3: [0, 1, 5, 7, 4, 2, 6], 4: [6, 0, 5, 1, 3, 2, 7], 5: [7, 2, 0, 4, 1, 6, 3], 6: [1, 5, 3, 4, 7, 0, 2], 7: [3, 2, 1, 6, 4, 0, 5]}"
Genetic,complete,8,6,6,0.0784239768981933,19274,"[8, 7, 7, 6, 6, 6, 6, 6, 6, 6, 6, 6]","{0: [1, 7, 6, 4, 5, 3, 2], 1: [0, 6, 5, 4, 2, 3, 7], 2: [6, 0, 1, 4, 3, 5, 7], 3: [5, 7, 6, 4, 1, 0, 2], 4: [6, 1, 7, 5, 2, 0, 3], 5: [6, 4, 1, 0, 7, 3, 2], 6: [0, 7, 1, 4, 3, 2, 5], 7: [0, 4, 1, 6, 5, 3, 2]}"
Genetic,complete,8,6,128,1.3940467834472656,509509,"[8, 8, 7, 7, 7, 7, 7, 6, 6, 6, 6, 6, 6]","{0: [4, 2, 5, 7, 1, 3, 6], 1: [0, 4, 6, 2, 7, 5, 3], 2: [1, 6, 5, 0, 7, 3, 4], 3: [0, 1, 2, 5, 6, 4, 7], 4: [5, 7, 0, 1, 2, 6, 3], 5: [3, 0, 2, 1, 6, 4, 7], 6: [3, 4, 7, 5, 1, 2, 0], 7: [4, 5, 3, 6, 1, 0, 2]}"
Genetic,complete,8,6,253,2.760053873062134,789472,"[8, 8, 7, 7, 7, 7, 7, 7, 6, 6, 6, 6, 6]","{0: [2, 6, 4, 3, 1, 5, 7], 1: [4, 5, 3, 0, 2, 7, 6], 2: [6, 4, 0, 7, 5, 3, 1], 3: [6, 2, 7, 5, 1, 0, 4], 4: [5, 7, 6, 2, 3, 0, 1], 5: [0, 3, 7, 4, 2, 1, 6], 6: [1, 7, 5, 0, 4, 2, 3], 7: [0, 5, 6, 1, 2, 4, 3]}"
Genetic,complete,8,6,50,0.5584461688995361,600330,"[7, 7, 7, 7, 7, 7, 6, 6, 6, 6, 6, 6, 6]","{0: [5, 7, 4, 1, 6, 3, 2], 1: [2, 5, 0, 3, 4, 6, 7], 2: [6, 5, 3, 4, 1, 7, 0], 3: [5, 7, 2, 1, 6, 0, 4], 4: [5, 6, 1, 7, 3, 2, 0], 5: [4, 3, 2, 0, 6, 7, 1], 6: [5, 7, 0, 1, 4, 2, 3], 7: [5, 2, 1, 0, 6, 4, 3]}"
Genetic,complete,8,6,165,1.7721900939941406,225285,"[8, 7, 7, 7, 7, 7, 7, 7, 6, 6, 6, 6, 6]","{0: [6, 2, 7, 4, 1, 3, 5], 1: [2, 3, 6, 4, 7, 0, 5], 2: [0, 3, 1, 6, 4, 7, 5], 3: [6, 4, 7, 0, 1, 5, 2], 4: [3, 2, 0, 1, 7, 6, 5], 5: [6, 7, 1, 4, 3, 0, 2], 6: [0, 4, 5, 2, 7, 1, 3], 7: [2, 4, 6, 5, 0, 3, 1]}"
Genetic,complete,8,6,18,0.202237844467163,317450,"[8, 7, 7, 7, 7, 6, 6, 6, 6, 6, 6, 6]","{0: [2, 5, 7, 3, 6, 4, 1], 1: [0, 7, 6, 3, 4, 5, 2], 2: [0, 1, 7, 3, 4, 5, 6], 3: [2, 6, 0, 1, 4, 5, 7], 4: [3, 2, 7, 0, 5, 6, 1], 5: [1, 0, 2, 6, 7, 3, 4], 6: [0, 3, 7, 5, 2, 1, 4], 7: [4, 3, 1, 6, 2, 0, 5]}"
Genetic,complete,8,6,51,0.5660641193389893,798460,"[7, 7, 7, 7, 7, 7, 6, 6, 6, 6, 6, 6, 6]","{0: [1, 5, 6, 4, 2, 7, 3], 1: [4, 6, 2, 0, 5, 7, 3], 2: [3, 4, 0, 1, 7, 6, 5], 3: [6, 4, 0, 5, 1, 2, 7], 4: [0, 7, 6, 1, 2, 5, 3], 5: [3, 1, 4, 0, 6, 2, 7], 6: [0, 7, 2, 4, 5, 3, 1], 7: [6, 1, 0, 3, 4, 2, 5]}"
Genetic,complete,8,6,90,0.984684944152832,685690,"[7, 7, 7, 7, 7, 7, 7, 6, 6, 6, 6, 6, 6]","{0: [5, 1, 6, 3, 2, 4, 7], 1: [5, 6, 3, 7, 4, 0, 2], 2: [3, 7, 6, 5, 0, 1, 4], 3: [2, 0, 1, 5, 7, 6, 4], 4: [5, 7, 0, 2, 1, 3, 6], 5: [7, 1, 0, 3, 6, 2, 4], 6: [0, 7, 5, 1, 3, 4, 2], 7: [0, 2, 1, 4, 6, 5, 3]}"
Genetic,complete,8,6,60,0.6684720516204834,385530,"[7, 7, 7, 7, 7, 7, 6, 6, 6, 6, 6, 6, 6]","{0: [1, 5, 7, 2, 3, 4, 6], 1: [4, 2, 6, 3, 7, 5, 0], 2: [4, 5, 3, 1, 6, 7, 0], 3: [5, 7, 0, 4, 6, 2, 1], 4: [1, 5, 2, 7, 6, 0, 3], 5: [2, 4, 3, 7, 0, 1, 6], 6: [0, 4, 7, 2, 1, 3, 5], 7: [2, 6, 4, 1, 3, 0, 5]}"
Genetic,complete,8,6,62,0.680495023727417,288614,"[7, 7, 7, 7, 7, 7, 6, 6, 6, 6, 6, 6, 6]","{0: [3, 7, 6, 2, 5, 4, 1], 1: [4, 2, 5, 7, 6, 3, 0], 2: [3, 6, 4, 7, 1, 5, 0], 3: [0, 6, 1, 7, 2, 5, 4], 4: [0, 5, 2, 6, 7, 3, 1], 5: [3, 7, 1, 6, 4, 0, 2], 6: [2, 1, 7, 5, 0, 3, 4], 7: [0, 4, 2, 6, 5, 3, 1]}"
Genetic,complete,8,6,159,1.814619064331055,437196,"[7, 7, 7, 7, 7, 7, 7, 7, 6, 6, 6, 6, 6]","{0: [6, 7, 2, 5, 4, 3, 1], 1: [7, 0, 2, 5, 3, 6, 4], 2: [5, 3, 4, 1, 6, 7, 0], 3: [0, 5, 4, 1, 2, 6, 7], 4: [2, 0, 5, 6, 7, 3, 1], 5: [3, 2, 6, 1, 4, 0, 7], 6: [4, 1, 7, 0, 3, 5, 2], 7: [6, 4, 5, 2, 1, 3, 0]}"
Genetic,complete,8,6,56,0.6174206733703613,699698,"[8, 8, 8, 7, 7, 7, 6, 6, 6, 6, 6, 6, 6]","{0: [1, 6, 2, 4, 3, 5, 7], 1: [4, 2, 6, 5, 0, 7, 3], 2: [1, 5, 4, 7, 6, 0, 3], 3: [2, 6, 1, 4, 7, 5, 0], 4: [3, 1, 5, 2, 0, 7, 6], 5: [3, 7, 0, 6, 4, 2, 1], 6: [3, 0, 7, 4, 5, 2, 1], 7: [3, 6, 1, 0, 5, 4, 2]}"
Genetic,complete,8,6,129,1.4185330867767334,246291,"[7, 7, 7, 7, 7, 7, 7, 7, 6, 6, 6, 6, 6]","{0: [7, 3, 6, 4, 5, 2, 1], 1: [7, 0, 4, 2, 5, 3, 6], 2: [4, 7, 6, 3, 1, 5, 0], 3: [5, 4, 1, 6, 2, 7, 0], 4: [2, 0, 7, 6, 5, 3, 1], 5: [4, 3, 0, 7, 6, 2, 1], 6: [3, 4, 7, 5, 2, 0, 1], 7: [5, 0, 2, 1, 3, 4, 6]}"
Genetic,complete,8,6,35,0.391618013381958,995972,"[8, 8, 7, 7, 7, 7, 6, 6, 6, 6, 6, 6]","{0: [2, 6, 3, 4, 1, 5, 7], 1: [4, 0, 5, 2, 7, 3, 6], 2: [4, 3, 6, 0, 1, 7, 5], 3: [7, 5, 1, 0, 2, 6, 4], 4: [6, 1, 3, 0, 2, 7, 5], 5: [2, 4, 3, 1, 7, 0, 6], 6: [1, 3, 0, 2, 7, 5, 4], 7: [2, 4, 5, 3, 1, 0, 6]}"
Genetic,complete,8,6,32,0.3642351627349853,520457,"[8, 8, 7, 7, 7, 6, 6, 6, 6, 6, 6, 6]","{0: [1, 5, 2, 7, 3, 4, 6], 1: [6, 5, 7, 0, 2, 4, 3], 2: [5, 4, 7, 1, 6, 0, 3], 3: [0, 6, 1, 5, 2, 4, 7], 4: [5, 7, 6, 1, 2, 3, 0], 5: [6, 0, 4, 3, 1, 7, 2], 6: [0, 5, 4, 7, 1, 3, 2], 7: [2, 5, 6, 0, 4, 1, 3]}"
Genetic,complete,8,6,67,0.7387430667877197,242350,"[7, 7, 7, 7, 7, 7, 7, 6, 6, 6, 6, 6, 6]","{0: [4, 2, 5, 7, 3, 1, 6], 1: [3, 2, 7, 0, 4, 5, 6], 2: [1, 5, 3, 6, 4, 7, 0], 3: [1, 2, 5, 0, 7, 4, 6], 4: [3, 1, 5, 7, 0, 2, 6], 5: [0, 1, 6, 4, 3, 2, 7], 6: [7, 3, 1, 0, 5, 2, 4], 7: [5, 6, 4, 1, 2, 3, 0]}"
Genetic,complete,8,6,77,0.8444180488586426,496719,"[7, 7, 7, 7, 7, 7, 7, 6, 6, 6, 6, 6, 6]","{0: [1, 6, 4, 2, 7, 5, 3], 1: [6, 3, 7, 5, 0, 4, 2], 2: [1, 6, 5, 0, 7, 4, 3], 3: [5, 1, 4, 6, 0, 7, 2], 4: [2, 7, 3, 0, 5, 1, 6], 5: [0, 7, 3, 1, 4, 2, 6], 6: [0, 4, 3, 5, 2, 7, 1], 7: [6, 3, 5, 0, 2, 1, 4]}"
Genetic,complete,8,6,161,1.783066987991333,242490,"[7, 7, 7, 7, 7, 7, 7, 7, 6, 6, 6, 6, 6]","{0: [4, 1, 6, 2, 5, 7, 3], 1: [7, 6, 5, 3, 0, 2, 4], 2: [4, 5, 6, 3, 1, 0, 7], 3: [6, 5, 4, 0, 2, 7, 1], 4: [0, 5, 7, 3, 6, 1, 2], 5: [0, 7, 2, 4, 3, 6, 1], 6: [4, 5, 3, 1, 7, 0, 2], 7: [2, 6, 1, 3, 5, 0, 4]}"
Genetic,complete,8,6,461,4.996675968170166,332065,"[8, 7, 7, 7, 7, 7, 7, 7, 7, 6, 6, 6, 6]","{0: [7, 1, 6, 5, 3, 4, 2], 1: [0, 7, 6, 3, 5, 2, 4], 2: [0, 4, 1, 5, 3, 7, 6], 3: [5, 2, 4, 7, 1, 6, 0], 4: [7, 5, 3, 1, 6, 2, 0], 5: [3, 0, 4, 6, 2, 1, 7], 6: [5, 0, 4, 3, 1, 7, 2], 7: [1, 2, 5, 4, 0, 3, 6]}"
Genetic,complete,8,6,23,0.2625789642333984,364996,"[7, 7, 7, 7, 7, 6, 6, 6, 6, 6, 6, 6]","{0: [4, 2, 1, 5, 3, 7, 6], 1: [6, 3, 0, 7, 5, 2, 4], 2: [1, 3, 0, 7, 4, 6, 5], 3: [2, 7, 1, 5, 6, 4, 0], 4: [6, 3, 2, 7, 5, 1, 0], 5: [2, 4, 7, 1, 0, 6, 3], 6: [0, 4, 7, 5, 1, 2, 3], 7: [2, 3, 5, 0, 6, 1, 4]}"
Genetic,complete,8,6,102,1.1270830631256104,315397,"[8, 7, 7, 7, 7, 7, 7, 6, 6, 6, 6, 6, 6]","{0: [3, 4, 2, 7, 1, 5, 6], 1: [7, 3, 2, 0, 6, 5, 4], 2: [7, 0, 4, 5, 1, 3, 6], 3: [1, 2, 5, 6, 7, 0, 4], 4: [2, 0, 7, 3, 6, 1, 5], 5: [7, 3, 0, 4, 1, 2, 6], 6: [7, 2, 3, 4, 0, 5, 1], 7: [2, 6, 4, 3, 1, 5, 0]}"
Genetic,complete,8,6,63,0.7028968334197998,456099,"[7, 7, 7, 7, 7, 7, 6, 6, 6, 6, 6, 6, 6]","{0: [1, 4, 3, 2, 6, 5, 7], 1: [6, 0, 4, 3, 5, 2, 7], 2: [7, 0, 3, 6, 1, 4, 5], 3: [0, 2, 5, 7, 6, 1, 4], 4: [2, 7, 6, 0, 3, 1, 5], 5: [3, 0, 6, 1, 7, 2, 4], 6: [5, 0, 4, 1, 3, 7, 2], 7: [0, 2, 5, 1, 6, 3, 4]}"
Genetic,complete,8,6,138,1.513319730758667,585859,"[8, 8, 7, 7, 7, 7, 7, 7, 6, 6, 6, 6, 6]","{0: [2, 7, 5, 4, 6, 3, 1], 1: [3, 0, 4, 5, 2, 7, 6], 2: [0, 3, 1, 5, 4, 6, 7], 3: [4, 5, 7, 0, 2, 1, 6], 4: [2, 0, 7, 6, 1, 3, 5], 5: [2, 7, 0, 3, 6, 4, 1], 6: [5, 3, 2, 1, 7, 0, 4], 7: [0, 1, 6, 2, 4, 5, 3]}"
Genetic,complete,8,6,5,0.0696902275085449,334895,"[7, 7, 7, 6, 6, 6, 6, 6, 6, 6, 6, 6]","{0: [1, 3, 2, 7, 4, 5, 6], 1: [0, 7, 5, 3, 4, 2, 6], 2: [0, 5, 7, 6, 3, 4, 1], 3: [7, 6, 4, 5, 2, 1, 0], 4: [0, 7, 2, 3, 6, 1, 5], 5: [0, 2, 3, 4, 1, 7, 6], 6: [0, 1, 7, 5, 3, 4, 2], 7: [0, 3, 1, 2, 5, 6, 4]}"
Genetic,complete,8,6,68,0.7443170547485352,286758,"[7, 7, 7, 7, 7, 7, 7, 6, 6, 6, 6, 6, 6]","{0: [1, 4, 5, 2, 6, 7, 3], 1: [3, 5, 2, 4, 7, 0, 6], 2: [7, 0, 6, 4, 3, 5, 1], 3: [1, 4, 5, 6, 2, 7, 0], 4: [3, 2, 0, 1, 7, 6, 5], 5: [0, 3, 6, 1, 4, 7, 2], 6: [3, 2, 5, 0, 4, 7, 1], 7: [2, 3, 6, 0, 1, 4, 5]}"
Genetic,complete,8,6,91,1.2063381671905518,549659,"[7, 7, 7, 7, 7, 7, 7, 6, 6, 6, 6, 6, 6]","{0: [7, 2, 4, 3, 6, 1, 5], 1: [6, 2, 3, 7, 0, 4, 5], 2: [4, 0, 7, 5, 1, 6, 3], 3: [5, 0, 7, 4, 2, 1, 6], 4: [7, 0, 3, 1, 2, 6, 5], 5: [1, 2, 0, 7, 4, 6, 3], 6: [5, 7, 2, 1, 3, 4, 0], 7: [4, 6, 2, 0, 1, 5, 3]}"
Genetic,complete,8,6,23,0.2561249732971191,838350,"[7, 7, 7, 7, 7, 6, 6, 6, 6, 6, 6, 6]","{0: [4, 5, 6, 1, 7, 3, 2], 1: [0, 4, 2, 3, 7, 6, 5], 2: [1, 0, 7, 4, 5, 6, 3], 3: [0, 1, 2, 6, 5, 7, 4], 4: [5, 3, 6, 0, 1, 2, 7], 5: [3, 6, 0, 4, 2, 1, 7], 6: [7, 1, 0, 5, 3, 2, 4], 7: [4, 1, 0, 2, 5, 6, 3]}"
Genetic,complete,8,6,144,1.5590641498565674,26905,"[8, 8, 8, 7, 7, 7, 7, 7, 6, 6, 6, 6, 6]","{0: [2, 7, 3, 5, 6, 4, 1], 1: [3, 5, 2, 0, 6, 7, 4], 2: [5, 4, 6, 1, 0, 3, 7], 3: [2, 4, 6, 7, 0, 5, 1], 4: [2, 0, 3, 1, 6, 5, 7], 5: [6, 1, 3, 7, 4, 2, 0], 6: [1, 4, 0, 3, 2, 5, 7], 7: [5, 4, 2, 1, 6, 3, 0]}"
Genetic,complete,8,6,64,0.701019287109375,684316,"[7, 7, 7, 7, 7, 7, 6, 6, 6, 6, 6, 6, 6]","{0: [4, 2, 5, 1, 6, 3, 7], 1: [0, 4, 3, 6, 2, 5, 7], 2: [0, 1, 3, 5, 7, 6, 4], 3: [1, 7, 4, 0, 6, 5, 2], 4: [6, 2, 0, 1, 5, 7, 3], 5: [1, 3, 7, 2, 4, 0, 6], 6: [4, 1, 7, 0, 3, 2, 5], 7: [0, 4, 6, 5, 1, 3, 2]}"
Genetic,complete,8,6,133,1.4375932216644287,272596,"[7, 7, 7, 7, 7, 7, 7, 7, 6, 6, 6, 6, 6]","{0: [2, 3, 7, 6, 5, 1, 4], 1: [3, 7, 0, 4, 5, 6, 2], 2: [5, 7, 1, 3, 4, 0, 6], 3: [1, 2, 4, 5, 6, 7, 0], 4: [6, 0, 1, 5, 3, 7, 2], 5: [3, 4, 0, 7, 6, 2, 1], 6: [1, 2, 5, 0, 4, 3, 7], 7: [2, 4, 0, 1, 6, 3, 5]}"
Genetic,complete,8,6,19,0.2120070457458496,551117,"[7, 7, 7, 7, 7, 6, 6, 6, 6, 6, 6, 6]","{0: [1, 7, 2, 3, 5, 6, 4], 1: [3, 5, 0, 6, 2, 7, 4], 2: [0, 3, 6, 7, 5, 1, 4], 3: [4, 1, 6, 0, 2, 7, 5], 4: [2, 1, 3, 0, 5, 7, 6], 5: [4, 2, 0, 6, 7, 3, 1], 6: [0, 2, 4, 5, 3, 7, 1], 7: [2, 6, 1, 5, 3, 0, 4]}"
