Algorithm,Graph Type,Number of Nodes,Final Fitness,Plato,Time,Seed,Fitness List,Final State
Genetic,complete,8,6,442,4.777240753173828,616652,"[7, 7, 7, 7, 7, 7, 7, 7, 7, 6, 6, 6, 6]","{0: [5, 7, 2, 1, 3, 4, 6], 1: [0, 5, 3, 4, 2, 6, 7], 2: [6, 0, 4, 3, 1, 7, 5], 3: [2, 4, 0, 7, 5, 1, 6], 4: [6, 7, 1, 0, 5, 3, 2], 5: [6, 3, 4, 1, 7, 0, 2], 6: [2, 1, 3, 4, 5, 7, 0], 7: [4, 3, 1, 6, 5, 2, 0]}"
Genetic,complete,8,6,134,1.4743390083312988,319878,"[8, 7, 7, 7, 7, 7, 7, 7, 6, 6, 6, 6, 6]","{0: [2, 5, 6, 1, 7, 3, 4], 1: [5, 4, 0, 6, 3, 7, 2], 2: [3, 0, 6, 5, 7, 1, 4], 3: [5, 6, 0, 2, 7, 1, 4], 4: [0, 5, 7, 2, 1, 3, 6], 5: [3, 0, 7, 4, 2, 6, 1], 6: [3, 1, 7, 2, 4, 0, 5], 7: [6, 4, 5, 0, 1, 3, 2]}"
Genetic,complete,8,6,1,0.0256609916687011,19274,"[6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]","{0: [1, 5, 7, 3, 4, 2, 6], 1: [0, 7, 3, 4, 5, 2, 6], 2: [0, 4, 1, 5, 3, 7, 6], 3: [0, 4, 7, 5, 2, 1, 6], 4: [0, 5, 3, 6, 7, 1, 2], 5: [0, 6, 7, 4, 2, 1, 3], 6: [7, 3, 5, 4, 1, 0, 2], 7: [0, 3, 6, 2, 1, 5, 4]}"
Genetic,complete,8,6,90,0.9955940246582032,509509,"[7, 7, 7, 7, 7, 7, 7, 6, 6, 6, 6, 6, 6]","{0: [2, 1, 4, 7, 5, 6, 3], 1: [6, 3, 4, 5, 7, 0, 2], 2: [4, 7, 5, 6, 1, 0, 3], 3: [0, 4, 7, 2, 6, 1, 5], 4: [6, 7, 2, 3, 0, 5, 1], 5: [0, 7, 1, 4, 3, 6, 2], 6: [0, 4, 3, 5, 1, 7, 2], 7: [3, 4, 2, 6, 0, 1, 5]}"
Genetic,complete,8,6,52,0.5790841579437256,789472,"[8, 8, 7, 7, 7, 7, 6, 6, 6, 6, 6, 6, 6]","{0: [5, 1, 6, 3, 7, 4, 2], 1: [3, 4, 5, 2, 7, 6, 0], 2: [7, 1, 5, 0, 3, 4, 6], 3: [4, 1, 2, 0, 6, 7, 5], 4: [1, 3, 0, 7, 2, 5, 6], 5: [6, 2, 1, 3, 4, 7, 0], 6: [0, 2, 7, 5, 4, 1, 3], 7: [1, 5, 0, 6, 4, 2, 3]}"
Genetic,complete,8,6,139,1.5128347873687744,600330,"[7, 7, 7, 7, 7, 7, 7, 7, 6, 6, 6, 6, 6]","{0: [3, 4, 5, 7, 6, 1, 2], 1: [6, 2, 4, 3, 5, 0, 7], 2: [0, 4, 3, 7, 5, 1, 6], 3: [1, 7, 2, 6, 0, 4, 5], 4: [0, 2, 1, 7, 5, 6, 3], 5: [7, 0, 1, 6, 4, 3, 2], 6: [3, 7, 2, 5, 0, 4, 1], 7: [5, 6, 1, 4, 0, 3, 2]}"
Genetic,complete,8,6,195,2.159780263900757,225285,"[7, 7, 7, 7, 7, 7, 7, 7, 6, 6, 6, 6, 6]","{0: [6, 5, 2, 1, 4, 7, 3], 1: [3, 2, 7, 6, 0, 5, 4], 2: [4, 0, 5, 7, 3, 6, 1], 3: [6, 1, 7, 2, 0, 4, 5], 4: [3, 2, 0, 6, 7, 1, 5], 5: [2, 1, 6, 7, 4, 0, 3], 6: [3, 0, 2, 7, 4, 1, 5], 7: [1, 0, 6, 3, 4, 2, 5]}"
Genetic,complete,8,6,8,0.0998530387878418,317450,"[7, 7, 7, 6, 6, 6, 6, 6, 6, 6, 6, 6]","{0: [7, 1, 4, 5, 6, 2, 3], 1: [4, 0, 3, 7, 6, 5, 2], 2: [5, 0, 4, 7, 6, 3, 1], 3: [6, 5, 0, 2, 7, 1, 4], 4: [6, 7, 0, 5, 3, 2, 1], 5: [1, 6, 4, 7, 0, 3, 2], 6: [0, 4, 5, 2, 7, 3, 1], 7: [5, 0, 6, 2, 1, 3, 4]}"
Genetic,complete,8,6,66,0.7289221286773682,798460,"[7, 7, 7, 7, 7, 7, 7, 6, 6, 6, 6, 6, 6]","{0: [1, 7, 3, 6, 2, 5, 4], 1: [4, 7, 6, 2, 3, 5, 0], 2: [7, 1, 6, 3, 5, 0, 4], 3: [0, 5, 7, 4, 2, 1, 6], 4: [3, 7, 5, 1, 0, 2, 6], 5: [4, 1, 7, 0, 2, 6, 3], 6: [1, 7, 2, 4, 0, 3, 5], 7: [4, 6, 1, 0, 5, 2, 3]}"
Genetic,complete,8,5,1884,20.180739164352417,685690,"[8, 7, 7, 7, 7, 7, 6, 6, 6, 6, 6, 5, 5]","{0: [6, 1, 5, 3, 4, 7, 2], 1: [4, 3, 2, 0, 6, 7, 5], 2: [3, 7, 6, 5, 1, 0, 4], 3: [4, 0, 5, 2, 7, 6, 1], 4: [3, 6, 7, 2, 0, 1, 5], 5: [0, 6, 2, 3, 1, 7, 4], 6: [0, 3, 2, 5, 4, 7, 1], 7: [2, 0, 5, 1, 6, 3, 4]}"
