Algorithm,Graph Type,Number of Nodes,Final Fitness,Plato,Time,Seed,Fitness List,Final State
Simulated_Annealing,complete,8,6.0,223,0.029548168182373,616652,"[10.0, 9.0, 10.0, 9.0, 10.0, 9.0, 9.0, 7.0, 6.0, 6.0]","{0: [1, 4, 6, 5, 2, 3, 7], 1: [0, 5, 6, 7, 3, 2, 4], 2: [0, 1, 7, 4, 5, 6, 3], 3: [0, 2, 1, 7, 5, 6, 4], 4: [0, 6, 1, 7, 3, 5, 2], 5: [0, 3, 6, 2, 4, 1, 7], 6: [0, 5, 7, 2, 1, 4, 3], 7: [0, 4, 5, 3, 1, 2, 6]}"
Simulated_Annealing,complete,8,6.0,403,0.0610179901123046,319878,"[9.0, 9.0, 9.0, 9.0, 10.0, 9.0, 7.0, 7.0, 7.0, 6.0, 6.0]","{0: [1, 7, 4, 2, 6, 3, 5], 1: [0, 6, 5, 7, 2, 4, 3], 2: [0, 1, 7, 3, 4, 5, 6], 3: [0, 6, 4, 2, 7, 5, 1], 4: [0, 3, 2, 5, 7, 6, 1], 5: [0, 2, 6, 7, 4, 3, 1], 6: [0, 2, 4, 7, 1, 5, 3], 7: [0, 3, 2, 1, 6, 4, 5]}"
Simulated_Annealing,complete,8,7.0,59,0.0096168518066406,19274,"[10.0, 9.0, 10.0, 9.0, 9.0, 9.0, 9.0, 7.0, 7.0]","{0: [1, 4, 7, 3, 5, 6, 2], 1: [0, 3, 5, 6, 2, 7, 4], 2: [0, 6, 3, 1, 7, 5, 4], 3: [0, 5, 1, 6, 2, 4, 7], 4: [0, 1, 6, 2, 3, 7, 5], 5: [0, 1, 3, 4, 2, 7, 6], 6: [0, 2, 5, 3, 4, 1, 7], 7: [0, 4, 1, 5, 2, 6, 3]}"
Simulated_Annealing,complete,8,6.0,153,0.0205988883972167,509509,"[10.0, 9.0, 10.0, 10.0, 10.0, 8.0, 8.0, 7.0, 6.0]","{0: [1, 2, 7, 4, 6, 5, 3], 1: [0, 4, 2, 3, 7, 5, 6], 2: [0, 7, 4, 1, 5, 3, 6], 3: [0, 7, 2, 6, 4, 5, 1], 4: [0, 5, 3, 1, 2, 7, 6], 5: [0, 6, 7, 3, 4, 2, 1], 6: [0, 4, 1, 3, 7, 5, 2], 7: [0, 3, 1, 2, 4, 5, 6]}"
Simulated_Annealing,complete,8,6.0,434,0.0582211017608642,789472,"[8.0, 8.0, 9.0, 9.0, 10.0, 9.0, 9.0, 7.0, 7.0, 6.0, 6.0]","{0: [1, 2, 6, 3, 7, 5, 4], 1: [0, 4, 7, 3, 6, 2, 5], 2: [0, 7, 5, 4, 6, 3, 1], 3: [0, 6, 2, 4, 7, 5, 1], 4: [0, 5, 6, 2, 7, 3, 1], 5: [0, 1, 3, 2, 7, 6, 4], 6: [0, 7, 1, 5, 2, 4, 3], 7: [0, 1, 5, 6, 2, 4, 3]}"
Simulated_Annealing,complete,8,5.0,620,0.0857698917388916,600330,"[10.0, 9.0, 10.0, 10.0, 9.0, 8.0, 9.0, 7.0, 7.0, 6.0, 5.0]","{0: [1, 6, 7, 4, 2, 3, 5], 1: [0, 2, 4, 3, 7, 6, 5], 2: [0, 6, 7, 4, 1, 5, 3], 3: [0, 2, 5, 6, 4, 7, 1], 4: [0, 7, 3, 1, 2, 5, 6], 5: [0, 1, 7, 6, 4, 3, 2], 6: [0, 3, 7, 1, 2, 4, 5], 7: [0, 5, 4, 2, 1, 3, 6]}"
Simulated_Annealing,complete,8,7.0,99,0.0155739784240722,225285,"[9.0, 10.0, 9.0, 10.0, 10.0, 9.0, 9.0, 7.0, 7.0, 7.0]","{0: [1, 4, 7, 6, 2, 3, 5], 1: [0, 7, 4, 5, 2, 6, 3], 2: [0, 4, 1, 3, 6, 7, 5], 3: [0, 4, 6, 2, 5, 7, 1], 4: [0, 5, 2, 7, 3, 1, 6], 5: [0, 6, 1, 2, 4, 3, 7], 6: [0, 5, 1, 4, 2, 3, 7], 7: [0, 2, 1, 5, 4, 6, 3]}"
Simulated_Annealing,complete,8,5.0,341,0.0419981479644775,317450,"[9.0, 10.0, 9.0, 10.0, 9.0, 9.0, 10.0, 7.0, 7.0, 5.0]","{0: [1, 2, 4, 7, 6, 3, 5], 1: [0, 7, 2, 6, 3, 4, 5], 2: [0, 3, 7, 1, 6, 5, 4], 3: [0, 2, 5, 1, 7, 4, 6], 4: [0, 2, 1, 5, 6, 3, 7], 5: [0, 6, 4, 3, 1, 2, 7], 6: [0, 4, 5, 3, 1, 2, 7], 7: [0, 4, 5, 2, 6, 1, 3]}"
Simulated_Annealing,complete,8,6.0,221,0.0284769535064697,798460,"[9.0, 9.0, 9.0, 10.0, 10.0, 9.0, 8.0, 7.0, 6.0, 6.0]","{0: [1, 3, 4, 2, 5, 7, 6], 1: [0, 2, 3, 7, 5, 4, 6], 2: [0, 5, 1, 6, 4, 7, 3], 3: [0, 5, 6, 4, 7, 2, 1], 4: [0, 6, 3, 5, 2, 1, 7], 5: [0, 7, 1, 6, 3, 2, 4], 6: [0, 7, 4, 1, 2, 3, 5], 7: [0, 1, 2, 4, 5, 3, 6]}"
Simulated_Annealing,complete,8,6.0,185,0.0246109962463378,685690,"[10.0, 10.0, 10.0, 10.0, 9.0, 9.0, 9.0, 7.0, 6.0]","{0: [1, 2, 5, 4, 6, 7, 3], 1: [0, 3, 2, 5, 7, 6, 4], 2: [0, 5, 6, 4, 1, 7, 3], 3: [0, 7, 2, 1, 6, 4, 5], 4: [0, 3, 7, 1, 6, 5, 2], 5: [0, 6, 2, 7, 1, 4, 3], 6: [0, 7, 3, 4, 1, 2, 5], 7: [0, 2, 1, 5, 4, 6, 3]}"
