Algorithm,Graph Type,Number of Nodes,Final Fitness,Plato,Time,Seed,Fitness List,Final State
Genetic,complete,8,6,1745,3.423257827758789,616652,"[8, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 6, 6]","{0: [1, 7, 2, 6, 5, 3, 4], 1: [0, 3, 7, 5, 6, 2, 4], 2: [0, 7, 6, 4, 3, 5, 1], 3: [6, 7, 5, 2, 4, 0, 1], 4: [2, 5, 7, 0, 6, 1, 3], 5: [0, 6, 2, 3, 7, 4, 1], 6: [4, 2, 7, 3, 5, 0, 1], 7: [6, 0, 2, 4, 3, 1, 5]}"
Genetic,complete,8,7,5,0.0108680725097656,319878,"[8, 8, 8, 7, 7, 7, 7, 7, 7, 7, 7, 7]","{0: [1, 2, 4, 6, 7, 5, 3], 1: [3, 6, 4, 0, 7, 2, 5], 2: [0, 6, 5, 1, 4, 7, 3], 3: [2, 6, 1, 0, 4, 7, 5], 4: [0, 7, 2, 6, 5, 1, 3], 5: [0, 3, 6, 2, 1, 7, 4], 6: [0, 4, 1, 2, 5, 3, 7], 7: [0, 6, 2, 3, 1, 5, 4]}"
Genetic,complete,8,6,930,1.7153480052947998,19274,"[7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 6, 6, 6]","{0: [1, 3, 5, 4, 7, 6, 2], 1: [4, 7, 6, 2, 3, 5, 0], 2: [6, 7, 0, 5, 1, 4, 3], 3: [7, 6, 5, 1, 0, 2, 4], 4: [3, 7, 2, 5, 0, 6, 1], 5: [6, 1, 3, 2, 0, 7, 4], 6: [3, 4, 7, 2, 5, 1, 0], 7: [6, 0, 5, 2, 4, 1, 3]}"
Genetic,complete,8,7,6,0.0211901664733886,509509,"[8, 8, 8, 7, 7, 7, 7, 7, 7, 7, 7, 7]","{0: [1, 4, 2, 7, 3, 6, 5], 1: [6, 2, 0, 7, 3, 5, 4], 2: [4, 1, 7, 0, 5, 6, 3], 3: [1, 2, 4, 6, 0, 7, 5], 4: [0, 3, 2, 7, 5, 1, 6], 5: [3, 4, 7, 2, 6, 0, 1], 6: [0, 3, 4, 7, 5, 2, 1], 7: [0, 4, 2, 5, 1, 6, 3]}"
Genetic,complete,8,7,1,0.0047130584716796,789472,"[7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7]","{0: [1, 4, 7, 2, 3, 6, 5], 1: [0, 6, 5, 2, 7, 4, 3], 2: [0, 5, 6, 4, 7, 3, 1], 3: [0, 7, 2, 1, 5, 4, 6], 4: [0, 3, 1, 2, 6, 7, 5], 5: [0, 7, 3, 2, 4, 1, 6], 6: [0, 5, 7, 4, 1, 2, 3], 7: [0, 1, 3, 4, 6, 5, 2]}"
Genetic,complete,8,7,11,0.0217728614807128,600330,"[8, 8, 8, 8, 7, 7, 7, 7, 7, 7, 7, 7]","{0: [5, 2, 4, 3, 7, 6, 1], 1: [0, 6, 7, 2, 5, 3, 4], 2: [0, 3, 6, 5, 1, 7, 4], 3: [0, 6, 2, 7, 5, 1, 4], 4: [0, 3, 6, 1, 5, 7, 2], 5: [0, 7, 4, 3, 1, 6, 2], 6: [0, 3, 7, 2, 5, 4, 1], 7: [1, 4, 2, 6, 0, 3, 5]}"
Genetic,complete,8,6,468,0.8336241245269775,225285,"[7, 7, 7, 7, 7, 7, 7, 7, 7, 6, 6, 6, 6]","{0: [5, 4, 6, 1, 2, 3, 7], 1: [2, 7, 3, 5, 4, 0, 6], 2: [3, 4, 7, 5, 1, 6, 0], 3: [0, 7, 4, 1, 5, 2, 6], 4: [6, 1, 7, 0, 3, 2, 5], 5: [7, 6, 0, 2, 1, 4, 3], 6: [5, 0, 1, 7, 4, 2, 3], 7: [6, 1, 5, 0, 4, 2, 3]}"
Genetic,complete,8,6,1129,2.133908987045288,317450,"[8, 8, 8, 8, 8, 8, 7, 7, 7, 7, 7, 6, 6]","{0: [2, 1, 3, 7, 4, 6, 5], 1: [5, 2, 6, 4, 3, 7, 0], 2: [3, 0, 6, 4, 5, 1, 7], 3: [4, 1, 0, 2, 5, 6, 7], 4: [3, 1, 0, 6, 5, 2, 7], 5: [3, 2, 0, 4, 1, 7, 6], 6: [0, 1, 7, 3, 5, 4, 2], 7: [4, 6, 5, 1, 0, 3, 2]}"
Genetic,complete,8,6,313,0.6106419563293457,798460,"[8, 8, 8, 7, 7, 7, 7, 7, 7, 6, 6, 6, 6]","{0: [2, 6, 1, 4, 5, 7, 3], 1: [5, 2, 0, 7, 3, 4, 6], 2: [0, 3, 7, 5, 1, 4, 6], 3: [5, 7, 4, 0, 1, 2, 6], 4: [7, 5, 3, 1, 0, 6, 2], 5: [7, 1, 2, 0, 4, 6, 3], 6: [5, 2, 7, 4, 1, 3, 0], 7: [3, 4, 1, 0, 2, 6, 5]}"
Genetic,complete,8,6,570,1.0255250930786133,685690,"[8, 8, 7, 7, 7, 7, 7, 7, 7, 7, 6, 6, 6]","{0: [5, 6, 4, 3, 7, 2, 1], 1: [3, 5, 4, 6, 7, 0, 2], 2: [3, 5, 6, 0, 4, 1, 7], 3: [2, 5, 0, 7, 4, 1, 6], 4: [1, 5, 2, 3, 6, 0, 7], 5: [7, 3, 4, 2, 6, 0, 1], 6: [1, 0, 5, 7, 4, 2, 3], 7: [1, 2, 4, 3, 0, 5, 6]}"
