Algorithm,Graph Type,Number of Nodes,Final Fitness,Plato,Time,Seed,Fitness List,Final State
Simulated_Annealing,complete,8,6.0,281,0.0322010517120361,616652,"[10.0, 9.0, 8.0, 8.0, 10.0, 7.0, 7.0, 7.0, 7.0, 6.0, 6.0]","{0: [1, 6, 3, 4, 7, 5, 2], 1: [0, 7, 4, 3, 6, 2, 5], 2: [0, 1, 5, 3, 6, 4, 7], 3: [0, 7, 2, 6, 1, 4, 5], 4: [0, 3, 1, 2, 6, 5, 7], 5: [0, 2, 7, 4, 3, 6, 1], 6: [0, 1, 5, 4, 2, 7, 3], 7: [0, 2, 1, 4, 5, 6, 3]}"
Simulated_Annealing,complete,8,6.0,66,0.0083398818969726,319878,"[9.0, 9.0, 9.0, 10.0, 9.0, 7.0, 7.0, 6.0, 6.0]","{0: [1, 7, 3, 5, 4, 2, 6], 1: [0, 6, 3, 5, 4, 2, 7], 2: [0, 5, 4, 6, 7, 3, 1], 3: [0, 1, 7, 6, 5, 2, 4], 4: [0, 6, 2, 5, 1, 7, 3], 5: [0, 7, 6, 4, 2, 1, 3], 6: [0, 5, 2, 4, 3, 7, 1], 7: [0, 2, 5, 4, 3, 6, 1]}"
Simulated_Annealing,complete,8,6.0,160,0.0193469524383544,19274,"[10.0, 10.0, 9.0, 10.0, 10.0, 8.0, 7.0, 7.0, 6.0]","{0: [1, 6, 2, 7, 4, 5, 3], 1: [0, 7, 4, 5, 3, 6, 2], 2: [0, 5, 3, 6, 1, 7, 4], 3: [0, 1, 5, 2, 7, 4, 6], 4: [0, 5, 3, 6, 1, 7, 2], 5: [0, 7, 6, 3, 1, 2, 4], 6: [0, 2, 5, 7, 1, 4, 3], 7: [0, 4, 5, 2, 6, 1, 3]}"
Simulated_Annealing,complete,8,5.0,134,0.0164668560028076,509509,"[9.0, 9.0, 8.0, 8.0, 9.0, 7.0, 7.0, 7.0, 5.0, 5.0]","{0: [1, 5, 4, 6, 3, 7, 2], 1: [0, 2, 5, 3, 6, 4, 7], 2: [0, 6, 4, 5, 7, 3, 1], 3: [0, 2, 5, 7, 4, 6, 1], 4: [0, 7, 5, 2, 3, 1, 6], 5: [0, 2, 4, 7, 3, 1, 6], 6: [0, 4, 1, 3, 2, 7, 5], 7: [0, 4, 6, 2, 1, 3, 5]}"
Simulated_Annealing,complete,8,6.0,64,0.0081310272216796,789472,"[7.0, 8.0, 9.0, 9.0, 8.0, 8.0, 6.0, 6.0, 6.0]","{0: [1, 6, 2, 5, 7, 4, 3], 1: [0, 2, 4, 3, 7, 6, 5], 2: [0, 6, 3, 4, 5, 1, 7], 3: [0, 5, 6, 1, 2, 7, 4], 4: [0, 7, 3, 2, 1, 5, 6], 5: [0, 7, 4, 2, 6, 1, 3], 6: [0, 5, 4, 3, 1, 7, 2], 7: [0, 3, 6, 1, 2, 5, 4]}"
Simulated_Annealing,complete,8,5.0,587,0.0674080848693847,600330,"[10.0, 10.0, 9.0, 9.0, 9.0, 9.0, 6.0, 6.0, 6.0, 6.0, 5.0]","{0: [1, 6, 4, 3, 5, 2, 7], 1: [0, 7, 5, 4, 3, 2, 6], 2: [0, 5, 4, 6, 1, 3, 7], 3: [0, 7, 4, 6, 5, 2, 1], 4: [0, 2, 5, 3, 6, 1, 7], 5: [0, 3, 6, 7, 1, 4, 2], 6: [0, 1, 2, 3, 7, 4, 5], 7: [0, 2, 3, 4, 5, 6, 1]}"
Simulated_Annealing,complete,8,6.0,115,0.0149281024932861,225285,"[10.0, 10.0, 10.0, 10.0, 10.0, 9.0, 7.0, 6.0, 6.0]","{0: [1, 6, 5, 2, 4, 7, 3], 1: [0, 6, 3, 7, 4, 2, 5], 2: [0, 1, 3, 7, 5, 6, 4], 3: [0, 2, 7, 1, 5, 6, 4], 4: [0, 5, 1, 2, 6, 7, 3], 5: [0, 6, 1, 2, 4, 7, 3], 6: [0, 7, 3, 4, 2, 1, 5], 7: [0, 6, 4, 5, 1, 3, 2]}"
Simulated_Annealing,complete,8,6.0,59,0.0076401233673095,317450,"[9.0, 9.0, 9.0, 10.0, 9.0, 7.0, 6.0, 6.0, 6.0]","{0: [1, 4, 6, 5, 7, 2, 3], 1: [0, 5, 2, 3, 7, 6, 4], 2: [0, 1, 4, 6, 7, 5, 3], 3: [0, 2, 5, 7, 4, 6, 1], 4: [0, 1, 2, 5, 6, 3, 7], 5: [0, 4, 2, 3, 1, 7, 6], 6: [0, 7, 5, 2, 1, 3, 4], 7: [0, 6, 2, 5, 1, 4, 3]}"
Simulated_Annealing,complete,8,6.0,347,0.0444869995117187,798460,"[8.0, 10.0, 10.0, 9.0, 9.0, 9.0, 7.0, 7.0, 7.0, 6.0]","{0: [1, 5, 3, 4, 7, 2, 6], 1: [0, 5, 3, 2, 6, 7, 4], 2: [0, 4, 6, 7, 5, 1, 3], 3: [0, 4, 7, 2, 1, 6, 5], 4: [0, 6, 2, 7, 5, 1, 3], 5: [0, 3, 1, 6, 2, 7, 4], 6: [0, 7, 2, 3, 4, 1, 5], 7: [0, 4, 6, 3, 1, 5, 2]}"
Simulated_Annealing,complete,8,6.0,124,0.0158579349517822,685690,"[9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 7.0, 6.0, 6.0, 6.0]","{0: [1, 2, 7, 4, 5, 6, 3], 1: [0, 5, 6, 2, 7, 3, 4], 2: [0, 4, 6, 5, 7, 1, 3], 3: [0, 1, 2, 4, 7, 6, 5], 4: [0, 3, 2, 1, 5, 6, 7], 5: [0, 2, 1, 4, 7, 6, 3], 6: [0, 3, 4, 2, 1, 5, 7], 7: [0, 1, 6, 5, 2, 4, 3]}"
Simulated_Annealing,complete,8,5.0,886,0.1081931591033935,385530,"[9.0, 9.0, 9.0, 10.0, 9.0, 9.0, 6.0, 6.0, 6.0, 6.0, 5.0]","{0: [1, 4, 3, 7, 2, 6, 5], 1: [0, 7, 5, 3, 2, 4, 6], 2: [0, 7, 5, 3, 6, 1, 4], 3: [0, 1, 4, 5, 6, 7, 2], 4: [0, 3, 5, 6, 7, 1, 2], 5: [0, 3, 4, 1, 7, 2, 6], 6: [0, 2, 5, 7, 4, 1, 3], 7: [0, 5, 1, 3, 4, 6, 2]}"
Simulated_Annealing,complete,8,5.0,193,0.0233097076416015,288614,"[8.0, 10.0, 9.0, 9.0, 10.0, 8.0, 7.0, 6.0, 5.0, 5.0]","{0: [1, 3, 2, 4, 6, 5, 7], 1: [0, 7, 6, 2, 5, 4, 3], 2: [0, 7, 1, 6, 3, 4, 5], 3: [0, 1, 6, 4, 2, 7, 5], 4: [0, 5, 1, 2, 3, 7, 6], 5: [0, 4, 2, 1, 3, 7, 6], 6: [0, 4, 5, 7, 2, 1, 3], 7: [0, 5, 3, 6, 4, 2, 1]}"
Simulated_Annealing,complete,8,6.0,323,0.0393028259277343,437196,"[9.0, 10.0, 10.0, 10.0, 10.0, 9.0, 8.0, 8.0, 7.0, 6.0]","{0: [1, 4, 5, 7, 3, 2, 6], 1: [0, 6, 4, 7, 3, 5, 2], 2: [0, 6, 7, 3, 5, 4, 1], 3: [0, 6, 7, 5, 1, 4, 2], 4: [0, 2, 6, 3, 7, 1, 5], 5: [0, 4, 1, 7, 2, 6, 3], 6: [0, 1, 5, 4, 7, 3, 2], 7: [0, 3, 4, 1, 6, 5, 2]}"
Simulated_Annealing,complete,8,6.0,112,0.0143060684204101,699698,"[10.0, 10.0, 8.0, 10.0, 9.0, 8.0, 7.0, 6.0, 6.0, 6.0, 6.0]","{0: [1, 7, 5, 4, 2, 6, 3], 1: [0, 5, 3, 6, 7, 2, 4], 2: [0, 5, 4, 7, 6, 3, 1], 3: [0, 4, 2, 6, 1, 5, 7], 4: [0, 6, 7, 5, 1, 3, 2], 5: [0, 3, 1, 2, 4, 7, 6], 6: [0, 7, 4, 5, 1, 3, 2], 7: [0, 6, 1, 5, 2, 4, 3]}"
Simulated_Annealing,complete,8,7.0,27,0.0043525695800781,246291,"[9.0, 10.0, 9.0, 10.0, 8.0, 7.0, 7.0, 7.0]","{0: [1, 7, 4, 2, 5, 6, 3], 1: [0, 7, 3, 6, 4, 2, 5], 2: [0, 3, 1, 6, 7, 4, 5], 3: [0, 6, 1, 5, 7, 2, 4], 4: [0, 2, 3, 5, 1, 7, 6], 5: [0, 2, 7, 6, 4, 1, 3], 6: [0, 7, 4, 3, 5, 1, 2], 7: [0, 6, 1, 3, 2, 4, 5]}"
Simulated_Annealing,complete,8,6.0,110,0.0138001441955566,995972,"[10.0, 10.0, 10.0, 10.0, 9.0, 7.0, 7.0, 6.0, 6.0, 6.0]","{0: [1, 3, 4, 5, 2, 7, 6], 1: [0, 5, 2, 4, 3, 7, 6], 2: [0, 4, 6, 3, 7, 1, 5], 3: [0, 7, 2, 4, 5, 1, 6], 4: [0, 5, 1, 7, 6, 3, 2], 5: [0, 1, 6, 4, 3, 7, 2], 6: [0, 1, 7, 4, 2, 3, 5], 7: [0, 5, 6, 1, 4, 2, 3]}"
Simulated_Annealing,complete,8,7.0,116,0.0152878761291503,520457,"[10.0, 9.0, 9.0, 9.0, 8.0, 8.0, 8.0, 7.0, 7.0, 7.0]","{0: [1, 7, 6, 4, 3, 5, 2], 1: [0, 2, 4, 5, 3, 7, 6], 2: [0, 7, 5, 4, 6, 3, 1], 3: [0, 6, 7, 1, 5, 2, 4], 4: [0, 6, 3, 7, 5, 1, 2], 5: [0, 2, 3, 1, 4, 6, 7], 6: [0, 3, 2, 5, 7, 1, 4], 7: [0, 4, 6, 1, 3, 5, 2]}"
