Algorithm,Number of Nodes,Final Fitness,Plato,Time,Seed,Fitness List,Final State
Simulated_Annealing,12,20.0,591,0.2939560413360595,833432,"[26.0, 27.0, 27.0, 24.0, 26.0, 25.0, 24.0, 25.0, 25.0, 23.0, 20.0]","{0: [1, 3, 11, 6, 5, 10, 2, 9, 8, 7, 4], 1: [0, 4, 5, 3, 9, 10, 8, 6, 2, 7, 11], 2: [0, 5, 8, 7, 3, 1, 4, 6, 9, 11, 10], 3: [0, 10, 11, 5, 2, 8, 9, 1, 7, 4, 6], 4: [0, 9, 10, 6, 2, 3, 8, 7, 5, 11, 1], 5: [0, 7, 8, 11, 2, 9, 10, 1, 6, 3, 4], 6: [0, 5, 2, 11, 3, 1, 10, 4, 7, 8, 9], 7: [0, 10, 4, 3, 8, 9, 1, 5, 11, 2, 6], 8: [0, 2, 11, 7, 4, 10, 1, 5, 6, 9, 3], 9: [0, 2, 11, 1, 10, 5, 4, 3, 7, 6, 8], 10: [0, 7, 6, 8, 5, 9, 2, 11, 1, 3, 4], 11: [0, 3, 8, 5, 10, 4, 6, 7, 9, 2, 1]}"
Simulated_Annealing,12,22.0,483,0.2500729560852051,408396,"[26.0, 26.0, 27.0, 26.0, 26.0, 26.0, 25.0, 26.0, 25.0, 22.0, 22.0]","{0: [1, 10, 2, 4, 3, 11, 8, 5, 9, 6, 7], 1: [0, 2, 8, 10, 5, 9, 3, 6, 11, 7, 4], 2: [0, 5, 7, 11, 9, 3, 1, 8, 6, 4, 10], 3: [0, 4, 8, 10, 7, 2, 9, 5, 6, 11, 1], 4: [0, 3, 6, 2, 10, 11, 5, 9, 1, 8, 7], 5: [0, 10, 2, 6, 8, 1, 3, 4, 11, 7, 9], 6: [0, 5, 9, 1, 3, 8, 10, 2, 11, 4, 7], 7: [0, 6, 2, 11, 1, 9, 10, 5, 8, 4, 3], 8: [0, 11, 2, 6, 5, 1, 4, 3, 10, 9, 7], 9: [0, 7, 2, 11, 1, 4, 3, 6, 10, 5, 8], 10: [0, 1, 8, 2, 7, 3, 11, 6, 5, 4, 9], 11: [0, 6, 4, 5, 9, 2, 8, 3, 7, 10, 1]}"
Simulated_Annealing,12,21.0,372,0.2922518253326416,438025,"[27.0, 26.0, 26.0, 27.0, 26.0, 26.0, 26.0, 24.0, 25.0, 21.0]","{0: [1, 2, 3, 4, 5, 10, 6, 11, 7, 8, 9], 1: [0, 10, 11, 8, 3, 5, 2, 9, 4, 7, 6], 2: [0, 9, 3, 1, 4, 6, 5, 7, 8, 11, 10], 3: [0, 8, 4, 11, 1, 10, 2, 9, 5, 6, 7], 4: [0, 11, 10, 8, 7, 5, 9, 2, 3, 1, 6], 5: [0, 6, 4, 3, 2, 7, 11, 9, 8, 1, 10], 6: [0, 8, 10, 5, 4, 9, 3, 11, 7, 2, 1], 7: [0, 8, 1, 2, 11, 5, 6, 10, 3, 4, 9], 8: [0, 5, 9, 3, 10, 7, 6, 11, 2, 4, 1], 9: [0, 3, 10, 11, 4, 6, 1, 7, 8, 5, 2], 10: [0, 5, 3, 2, 1, 11, 7, 9, 8, 4, 6], 11: [0, 8, 3, 5, 7, 1, 6, 4, 10, 9, 2]}"
Simulated_Annealing,12,22.0,533,0.2788927555084228,755593,"[26.0, 27.0, 26.0, 26.0, 26.0, 25.0, 27.0, 25.0, 25.0, 23.0, 22.0]","{0: [1, 10, 6, 11, 4, 7, 3, 2, 5, 8, 9], 1: [0, 10, 9, 4, 7, 6, 8, 11, 3, 2, 5], 2: [0, 5, 7, 3, 1, 11, 8, 9, 6, 4, 10], 3: [0, 7, 2, 5, 11, 1, 8, 4, 9, 6, 10], 4: [0, 5, 3, 11, 1, 8, 6, 10, 2, 7, 9], 5: [0, 2, 6, 8, 3, 7, 4, 1, 10, 11, 9], 6: [0, 7, 8, 3, 9, 4, 10, 1, 5, 2, 11], 7: [0, 4, 1, 10, 6, 5, 2, 11, 8, 3, 9], 8: [0, 2, 9, 11, 6, 1, 10, 3, 5, 4, 7], 9: [0, 5, 2, 4, 8, 11, 6, 3, 10, 1, 7], 10: [0, 6, 3, 1, 5, 4, 11, 7, 8, 2, 9], 11: [0, 8, 6, 3, 1, 10, 9, 2, 5, 7, 4]}"
Simulated_Annealing,12,23.0,257,0.1509680747985839,91252,"[26.0, 26.0, 27.0, 27.0, 27.0, 25.0, 26.0, 26.0, 24.0, 24.0]","{0: [1, 7, 6, 5, 8, 11, 3, 4, 9, 2, 10], 1: [0, 8, 5, 7, 2, 11, 9, 10, 3, 6, 4], 2: [0, 6, 3, 9, 5, 1, 10, 11, 4, 7, 8], 3: [0, 1, 4, 6, 9, 2, 10, 8, 11, 5, 7], 4: [0, 1, 6, 8, 7, 5, 2, 10, 9, 3, 11], 5: [0, 4, 9, 3, 8, 1, 7, 11, 10, 6, 2], 6: [0, 11, 5, 10, 9, 3, 8, 4, 1, 7, 2], 7: [0, 5, 6, 2, 11, 4, 10, 8, 9, 3, 1], 8: [0, 10, 7, 9, 3, 1, 2, 4, 6, 11, 5], 9: [0, 1, 5, 8, 3, 6, 7, 4, 11, 10, 2], 10: [0, 7, 4, 3, 11, 8, 9, 2, 1, 6, 5], 11: [0, 8, 10, 6, 3, 1, 4, 2, 9, 7, 5]}"
Simulated_Annealing,12,21.0,556,0.2752578258514404,96801,"[26.0, 26.0, 27.0, 25.0, 26.0, 26.0, 27.0, 26.0, 25.0, 23.0, 21.0]","{0: [1, 10, 11, 3, 8, 4, 5, 6, 7, 9, 2], 1: [0, 7, 3, 8, 2, 9, 4, 11, 5, 6, 10], 2: [0, 4, 9, 6, 11, 5, 7, 10, 8, 3, 1], 3: [0, 1, 5, 9, 8, 6, 2, 10, 4, 7, 11], 4: [0, 7, 9, 2, 6, 3, 10, 5, 8, 11, 1], 5: [0, 7, 10, 9, 6, 11, 8, 2, 3, 4, 1], 6: [0, 4, 10, 2, 1, 8, 11, 5, 9, 7, 3], 7: [0, 1, 4, 2, 6, 3, 8, 10, 9, 11, 5], 8: [0, 6, 7, 9, 10, 1, 2, 11, 5, 4, 3], 9: [0, 11, 7, 3, 10, 5, 8, 1, 4, 2, 6], 10: [0, 1, 8, 2, 9, 5, 11, 6, 7, 4, 3], 11: [0, 1, 8, 2, 10, 7, 5, 6, 3, 4, 9]}"
Simulated_Annealing,12,21.0,635,0.3109991550445556,943466,"[27.0, 27.0, 27.0, 25.0, 25.0, 27.0, 26.0, 25.0, 25.0, 23.0, 21.0]","{0: [1, 6, 4, 10, 7, 8, 11, 5, 2, 9, 3], 1: [0, 2, 5, 6, 7, 3, 10, 11, 9, 8, 4], 2: [0, 11, 3, 4, 7, 6, 5, 1, 8, 9, 10], 3: [0, 5, 7, 9, 4, 2, 8, 6, 11, 1, 10], 4: [0, 9, 10, 6, 8, 3, 1, 7, 11, 2, 5], 5: [0, 3, 6, 11, 7, 10, 4, 8, 9, 1, 2], 6: [0, 2, 11, 5, 7, 9, 4, 8, 3, 1, 10], 7: [0, 6, 4, 11, 9, 10, 2, 3, 1, 8, 5], 8: [0, 3, 6, 1, 2, 10, 11, 9, 5, 4, 7], 9: [0, 10, 2, 1, 8, 11, 5, 3, 6, 4, 7], 10: [0, 5, 11, 1, 7, 6, 9, 3, 2, 8, 4], 11: [0, 5, 6, 10, 9, 1, 3, 2, 8, 4, 7]}"
Simulated_Annealing,12,20.0,1206,0.5253150463104248,548012,"[26.0, 26.0, 26.0, 26.0, 26.0, 26.0, 27.0, 25.0, 27.0, 23.0, 22.0, 20.0]","{0: [1, 10, 7, 5, 11, 3, 2, 4, 9, 8, 6], 1: [0, 4, 3, 5, 7, 9, 10, 2, 6, 8, 11], 2: [0, 1, 9, 6, 5, 7, 3, 4, 8, 11, 10], 3: [0, 1, 10, 5, 7, 9, 2, 6, 4, 8, 11], 4: [0, 7, 2, 9, 5, 10, 8, 11, 6, 1, 3], 5: [0, 9, 7, 4, 6, 2, 3, 11, 1, 10, 8], 6: [0, 10, 4, 2, 7, 3, 5, 9, 11, 8, 1], 7: [0, 10, 1, 4, 3, 11, 2, 8, 5, 9, 6], 8: [0, 11, 1, 6, 4, 10, 3, 5, 7, 2, 9], 9: [0, 7, 5, 4, 3, 11, 1, 8, 6, 2, 10], 10: [0, 3, 9, 5, 2, 8, 4, 1, 11, 6, 7], 11: [0, 4, 8, 10, 9, 5, 1, 6, 7, 3, 2]}"
Simulated_Annealing,12,22.0,386,0.2035670280456543,890803,"[27.0, 27.0, 27.0, 26.0, 27.0, 26.0, 27.0, 26.0, 24.0, 22.0]","{0: [1, 2, 9, 10, 4, 11, 3, 7, 6, 8, 5], 1: [0, 5, 7, 3, 4, 8, 2, 9, 10, 11, 6], 2: [0, 9, 7, 3, 10, 8, 1, 6, 5, 4, 11], 3: [0, 2, 1, 5, 9, 11, 10, 4, 7, 8, 6], 4: [0, 6, 2, 5, 11, 10, 9, 1, 8, 3, 7], 5: [0, 10, 4, 2, 9, 7, 11, 8, 3, 6, 1], 6: [0, 1, 8, 7, 5, 4, 11, 10, 2, 9, 3], 7: [0, 1, 2, 11, 5, 6, 9, 10, 4, 8, 3], 8: [0, 9, 5, 11, 6, 3, 7, 10, 2, 1, 4], 9: [0, 7, 6, 4, 8, 3, 5, 10, 2, 11, 1], 10: [0, 8, 3, 5, 4, 2, 6, 7, 11, 1, 9], 11: [0, 8, 5, 4, 3, 7, 9, 2, 6, 10, 1]}"
Simulated_Annealing,12,22.0,497,0.2572407722473144,947314,"[27.0, 26.0, 26.0, 27.0, 25.0, 26.0, 26.0, 26.0, 25.0, 22.0, 22.0]","{0: [1, 7, 3, 9, 6, 8, 4, 5, 10, 11, 2], 1: [0, 4, 8, 6, 10, 2, 7, 3, 5, 9, 11], 2: [0, 1, 7, 6, 5, 8, 4, 11, 10, 3, 9], 3: [0, 10, 1, 4, 8, 7, 5, 9, 2, 6, 11], 4: [0, 11, 2, 10, 6, 5, 1, 9, 3, 7, 8], 5: [0, 2, 4, 10, 1, 11, 6, 9, 7, 8, 3], 6: [0, 8, 10, 5, 2, 11, 1, 9, 7, 4, 3], 7: [0, 2, 6, 8, 4, 1, 10, 11, 9, 5, 3], 8: [0, 4, 10, 6, 1, 7, 9, 2, 3, 5, 11], 9: [0, 10, 5, 7, 1, 11, 8, 4, 6, 2, 3], 10: [0, 3, 2, 11, 7, 5, 1, 9, 6, 4, 8], 11: [0, 5, 1, 2, 4, 6, 8, 3, 10, 7, 9]}"
