Iteration,Fitness,FitnessEvalTime,Time,State
14,7.0,0.0010602474212646484,0.0010602474212646484,"{0: [8, 5, 6, 9, 7], 1: [5, 7, 8, 9, 6], 2: [7, 5, 8, 9, 6], 3: [6, 7, 8, 5, 9], 4: [8, 9, 6, 5, 7], 5: [2, 0, 4, 3, 1], 6: [4, 1, 2, 3, 0], 7: [0, 2, 4, 1, 3], 8: [3, 4, 1, 0, 2], 9: [4, 3, 0, 2, 1]}"
15,7.0,0.0011370182037353516,0.0011370182037353516,"{0: [8, 5, 6, 9, 7], 1: [5, 7, 8, 9, 6], 2: [7, 5, 8, 9, 6], 3: [6, 7, 8, 5, 9], 4: [8, 9, 6, 5, 7], 5: [2, 0, 4, 3, 1], 6: [4, 1, 2, 3, 0], 7: [0, 2, 4, 1, 3], 8: [3, 4, 1, 0, 2], 9: [0, 4, 3, 2, 1]}"
16,7.0,0.00121307373046875,0.00121307373046875,"{0: [8, 5, 6, 9, 7], 1: [5, 7, 8, 9, 6], 2: [6, 5, 7, 8, 9], 3: [6, 7, 8, 5, 9], 4: [8, 9, 6, 5, 7], 5: [2, 0, 4, 3, 1], 6: [4, 1, 2, 3, 0], 7: [0, 2, 4, 1, 3], 8: [3, 4, 1, 0, 2], 9: [0, 4, 3, 2, 1]}"
17,7.0,0.0012900829315185547,0.0012900829315185547,"{0: [8, 5, 6, 9, 7], 1: [5, 7, 8, 9, 6], 2: [6, 5, 7, 8, 9], 3: [6, 7, 8, 5, 9], 4: [8, 9, 6, 5, 7], 5: [2, 0, 4, 3, 1], 6: [4, 1, 2, 3, 0], 7: [0, 2, 4, 1, 3], 8: [3, 4, 1, 0, 2], 9: [2, 3, 0, 4, 1]}"
18,7.0,0.0013651847839355469,0.0013651847839355469,"{0: [8, 5, 6, 9, 7], 1: [5, 7, 8, 9, 6], 2: [6, 9, 5, 8, 7], 3: [6, 7, 8, 5, 9], 4: [8, 9, 6, 5, 7], 5: [2, 0, 4, 3, 1], 6: [4, 1, 2, 3, 0], 7: [0, 2, 4, 1, 3], 8: [3, 4, 1, 0, 2], 9: [2, 3, 0, 4, 1]}"
19,7.0,0.0014412403106689453,0.0014412403106689453,"{0: [8, 5, 6, 9, 7], 1: [5, 7, 8, 9, 6], 2: [6, 9, 5, 8, 7], 3: [6, 7, 8, 5, 9], 4: [8, 9, 6, 5, 7], 5: [2, 0, 4, 3, 1], 6: [4, 1, 2, 3, 0], 7: [1, 3, 4, 2, 0], 8: [3, 4, 1, 0, 2], 9: [2, 3, 0, 4, 1]}"
20,7.0,0.001516103744506836,0.001516103744506836,"{0: [8, 5, 6, 9, 7], 1: [5, 7, 8, 9, 6], 2: [8, 9, 6, 7, 5], 3: [6, 7, 8, 5, 9], 4: [8, 9, 6, 5, 7], 5: [2, 0, 4, 3, 1], 6: [4, 1, 2, 3, 0], 7: [1, 3, 4, 2, 0], 8: [3, 4, 1, 0, 2], 9: [2, 3, 0, 4, 1]}"
21,7.0,0.0015900135040283203,0.0015912055969238281,"{0: [6, 9, 8, 7, 5], 1: [5, 7, 8, 9, 6], 2: [8, 9, 6, 7, 5], 3: [6, 7, 8, 5, 9], 4: [8, 9, 6, 5, 7], 5: [2, 0, 4, 3, 1], 6: [4, 1, 2, 3, 0], 7: [1, 3, 4, 2, 0], 8: [3, 4, 1, 0, 2], 9: [2, 3, 0, 4, 1]}"
22,7.0,0.0016651153564453125,0.0016651153564453125,"{0: [6, 9, 8, 7, 5], 1: [5, 7, 8, 9, 6], 2: [8, 9, 6, 7, 5], 3: [6, 7, 8, 5, 9], 4: [5, 7, 6, 9, 8], 5: [2, 0, 4, 3, 1], 6: [4, 1, 2, 3, 0], 7: [1, 3, 4, 2, 0], 8: [3, 4, 1, 0, 2], 9: [2, 3, 0, 4, 1]}"
23,6.0,0.0017390251159667969,0.0017390251159667969,"{0: [6, 9, 8, 7, 5], 1: [5, 7, 8, 9, 6], 2: [8, 9, 6, 7, 5], 3: [7, 5, 9, 8, 6], 4: [5, 7, 6, 9, 8], 5: [2, 0, 4, 3, 1], 6: [4, 1, 2, 3, 0], 7: [1, 3, 4, 2, 0], 8: [3, 4, 1, 0, 2], 9: [2, 3, 0, 4, 1]}"
