Algorithm,Graph Type,Number of Nodes,Final Fitness,Plato,Time,Seed,Fitness List,Final State
Simulated_Annealing,complete,8,5.0,988,0.1484441757202148,616652,"[10.0, 9.0, 10.0, 9.0, 10.0, 9.0, 9.0, 10.0, 9.0, 10.0, 5.0, 5.0]","{0: [1, 5, 6, 2, 7, 3, 4], 1: [0, 4, 6, 2, 7, 3, 5], 2: [0, 5, 1, 7, 6, 4, 3], 3: [0, 7, 5, 1, 2, 6, 4], 4: [0, 7, 5, 3, 6, 2, 1], 5: [0, 1, 3, 4, 6, 7, 2], 6: [0, 7, 4, 3, 1, 2, 5], 7: [0, 1, 5, 2, 6, 4, 3]}"
Simulated_Annealing,complete,8,6.0,741,0.121636152267456,319878,"[9.0, 10.0, 9.0, 10.0, 10.0, 10.0, 9.0, 8.0, 10.0, 10.0, 7.0, 6.0]","{0: [1, 3, 7, 6, 2, 5, 4], 1: [0, 3, 5, 4, 2, 7, 6], 2: [0, 7, 4, 5, 1, 3, 6], 3: [0, 6, 2, 7, 5, 1, 4], 4: [0, 7, 1, 2, 5, 6, 3], 5: [0, 1, 3, 2, 7, 6, 4], 6: [0, 5, 7, 4, 2, 3, 1], 7: [0, 2, 1, 3, 4, 6, 5]}"
Simulated_Annealing,complete,8,6.0,838,0.1408748626708984,19274,"[10.0, 9.0, 9.0, 10.0, 9.0, 10.0, 9.0, 9.0, 10.0, 8.0, 6.0]","{0: [1, 4, 7, 2, 5, 6, 3], 1: [0, 2, 4, 6, 5, 3, 7], 2: [0, 7, 5, 3, 4, 1, 6], 3: [0, 1, 7, 6, 5, 2, 4], 4: [0, 3, 7, 2, 5, 6, 1], 5: [0, 2, 7, 3, 6, 4, 1], 6: [0, 1, 2, 4, 5, 3, 7], 7: [0, 4, 1, 6, 3, 5, 2]}"
Simulated_Annealing,complete,8,6.0,735,0.1206831932067871,509509,"[9.0, 9.0, 9.0, 9.0, 10.0, 10.0, 9.0, 8.0, 10.0, 8.0, 6.0, 6.0]","{0: [1, 2, 7, 3, 4, 5, 6], 1: [0, 6, 4, 3, 7, 5, 2], 2: [0, 1, 3, 7, 5, 6, 4], 3: [0, 5, 4, 2, 7, 6, 1], 4: [0, 1, 2, 6, 3, 7, 5], 5: [0, 4, 1, 2, 7, 6, 3], 6: [0, 4, 2, 7, 3, 5, 1], 7: [0, 5, 4, 3, 2, 1, 6]}"
Simulated_Annealing,complete,8,5.0,1226,0.2571289539337158,789472,"[8.0, 9.0, 9.0, 9.0, 8.0, 10.0, 9.0, 9.0, 9.0, 9.0, 7.0, 5.0]","{0: [1, 3, 5, 6, 7, 2, 4], 1: [0, 6, 5, 7, 2, 3, 4], 2: [0, 5, 1, 6, 4, 7, 3], 3: [0, 4, 1, 5, 6, 2, 7], 4: [0, 2, 6, 3, 1, 7, 5], 5: [0, 4, 7, 3, 2, 1, 6], 6: [0, 5, 1, 4, 2, 7, 3], 7: [0, 5, 4, 3, 2, 6, 1]}"
Simulated_Annealing,complete,8,5.0,1565,0.2430219650268554,600330,"[8.0, 8.0, 9.0, 9.0, 9.0, 9.0, 9.0, 10.0, 9.0, 10.0, 8.0, 5.0]","{0: [1, 3, 4, 7, 5, 6, 2], 1: [0, 2, 5, 4, 7, 6, 3], 2: [0, 5, 3, 7, 6, 4, 1], 3: [0, 1, 7, 2, 5, 6, 4], 4: [0, 3, 1, 5, 2, 6, 7], 5: [0, 7, 4, 2, 6, 3, 1], 6: [0, 7, 4, 2, 1, 3, 5], 7: [0, 3, 2, 4, 6, 1, 5]}"
Simulated_Annealing,complete,8,5.0,843,0.1314561367034912,225285,"[9.0, 10.0, 8.0, 9.0, 9.0, 9.0, 9.0, 8.0, 10.0, 9.0, 5.0]","{0: [1, 3, 2, 5, 6, 7, 4], 1: [0, 7, 5, 6, 2, 4, 3], 2: [0, 5, 7, 6, 3, 4, 1], 3: [0, 1, 2, 5, 7, 6, 4], 4: [0, 6, 1, 2, 5, 3, 7], 5: [0, 1, 3, 7, 2, 4, 6], 6: [0, 5, 4, 1, 2, 7, 3], 7: [0, 3, 1, 4, 6, 2, 5]}"
Simulated_Annealing,complete,8,6.0,432,0.0729339122772216,317450,"[10.0, 9.0, 9.0, 9.0, 9.0, 10.0, 9.0, 9.0, 8.0, 10.0, 6.0]","{0: [1, 5, 4, 7, 3, 6, 2], 1: [0, 3, 7, 4, 6, 5, 2], 2: [0, 6, 4, 1, 3, 5, 7], 3: [0, 7, 4, 2, 5, 6, 1], 4: [0, 1, 3, 5, 2, 6, 7], 5: [0, 4, 2, 7, 1, 6, 3], 6: [0, 4, 2, 7, 3, 5, 1], 7: [0, 4, 2, 3, 5, 1, 6]}"
Simulated_Annealing,complete,8,5.0,1001,0.1617250442504882,798460,"[9.0, 10.0, 9.0, 10.0, 10.0, 9.0, 10.0, 9.0, 10.0, 9.0, 5.0, 5.0]","{0: [1, 6, 4, 2, 3, 5, 7], 1: [0, 4, 6, 5, 2, 7, 3], 2: [0, 4, 7, 1, 6, 5, 3], 3: [0, 2, 5, 7, 4, 1, 6], 4: [0, 6, 1, 5, 3, 7, 2], 5: [0, 4, 7, 3, 6, 1, 2], 6: [0, 3, 7, 2, 5, 1, 4], 7: [0, 6, 5, 4, 3, 1, 2]}"
Simulated_Annealing,complete,8,5.0,1051,0.1585969924926757,685690,"[10.0, 10.0, 8.0, 10.0, 9.0, 10.0, 9.0, 10.0, 9.0, 9.0, 6.0, 5.0]","{0: [1, 3, 2, 5, 7, 6, 4], 1: [0, 7, 3, 2, 4, 5, 6], 2: [0, 4, 1, 7, 5, 3, 6], 3: [0, 1, 7, 6, 2, 5, 4], 4: [0, 1, 2, 5, 6, 3, 7], 5: [0, 6, 2, 7, 3, 4, 1], 6: [0, 7, 1, 4, 5, 2, 3], 7: [0, 3, 1, 4, 5, 2, 6]}"
