Algorithm,Graph Type,Number of Nodes,Final Fitness,Plato,Time,Seed,Fitness List,Final State
Genetic,complete,8,5,555,10.644655227661133,616652,"[8, 8, 8, 7, 7, 7, 6, 6, 6, 6, 5, 5, 5]","{0: [4, 1, 5, 2, 6, 3, 7], 1: [3, 2, 6, 7, 5, 0, 4], 2: [0, 1, 7, 4, 3, 5, 6], 3: [2, 1, 4, 0, 7, 6, 5], 4: [0, 7, 3, 5, 2, 6, 1], 5: [6, 0, 1, 7, 4, 2, 3], 6: [1, 5, 3, 7, 0, 2, 4], 7: [0, 1, 2, 3, 6, 5, 4]}"
Genetic,complete,8,5,1614,31.241464853286743,319878,"[8, 7, 7, 7, 7, 7, 6, 6, 6, 6, 6, 5, 5]","{0: [4, 5, 3, 2, 7, 6, 1], 1: [4, 0, 5, 2, 3, 6, 7], 2: [6, 4, 0, 7, 1, 3, 5], 3: [7, 4, 0, 2, 5, 6, 1], 4: [0, 1, 7, 3, 6, 2, 5], 5: [1, 2, 0, 4, 6, 7, 3], 6: [5, 2, 0, 1, 4, 7, 3], 7: [1, 5, 0, 6, 3, 2, 4]}"
Genetic,complete,8,6,6,0.1382060050964355,19274,"[7, 7, 7, 6, 6, 6, 6, 6, 6, 6, 6, 6]","{0: [3, 2, 1, 5, 7, 4, 6], 1: [0, 4, 6, 3, 7, 2, 5], 2: [3, 4, 0, 6, 5, 7, 1], 3: [4, 1, 2, 5, 0, 6, 7], 4: [0, 1, 2, 7, 5, 3, 6], 5: [0, 1, 4, 6, 3, 7, 2], 6: [0, 4, 2, 5, 7, 1, 3], 7: [0, 4, 1, 2, 5, 6, 3]}"
Genetic,complete,8,6,111,2.214867115020752,509509,"[7, 7, 7, 7, 7, 7, 7, 6, 6, 6, 6, 6, 6]","{0: [3, 4, 5, 1, 2, 6, 7], 1: [4, 7, 5, 3, 2, 0, 6], 2: [7, 5, 6, 4, 0, 1, 3], 3: [0, 5, 6, 7, 1, 2, 4], 4: [1, 2, 7, 5, 0, 3, 6], 5: [3, 4, 6, 0, 7, 1, 2], 6: [5, 3, 2, 0, 7, 4, 1], 7: [6, 3, 4, 2, 5, 0, 1]}"
Genetic,complete,8,6,36,0.7182700634002686,789472,"[7, 7, 7, 7, 7, 7, 6, 6, 6, 6, 6, 6]","{0: [2, 6, 4, 7, 5, 1, 3], 1: [3, 5, 0, 6, 4, 7, 2], 2: [6, 4, 7, 1, 3, 5, 0], 3: [1, 2, 6, 5, 0, 7, 4], 4: [6, 7, 0, 2, 5, 3, 1], 5: [4, 3, 0, 7, 6, 2, 1], 6: [5, 7, 4, 1, 2, 3, 0], 7: [6, 5, 1, 3, 2, 0, 4]}"
Genetic,complete,8,5,333,6.3179099559783936,600330,"[7, 6, 6, 6, 6, 6, 6, 6, 6, 5, 5, 5, 5]","{0: [1, 6, 5, 3, 2, 7, 4], 1: [0, 2, 3, 6, 4, 7, 5], 2: [6, 3, 5, 7, 0, 1, 4], 3: [0, 2, 4, 6, 5, 7, 1], 4: [1, 2, 7, 6, 3, 5, 0], 5: [2, 0, 4, 3, 6, 1, 7], 6: [0, 5, 3, 4, 2, 1, 7], 7: [0, 2, 5, 3, 4, 6, 1]}"
Genetic,complete,8,6,83,1.707366943359375,225285,"[7, 7, 7, 7, 7, 7, 7, 6, 6, 6, 6, 6, 6]","{0: [1, 2, 4, 7, 3, 5, 6], 1: [2, 0, 7, 3, 6, 5, 4], 2: [1, 5, 7, 4, 6, 0, 3], 3: [0, 2, 4, 5, 6, 1, 7], 4: [6, 3, 0, 2, 7, 5, 1], 5: [3, 6, 0, 2, 4, 7, 1], 6: [5, 2, 4, 7, 1, 3, 0], 7: [6, 5, 4, 2, 0, 3, 1]}"
Genetic,complete,8,4,1043,19.678703784942627,317450,"[7, 7, 7, 7, 7, 7, 7, 6, 5, 5, 5, 4, 4]","{0: [3, 1, 7, 6, 2, 5, 4], 1: [6, 2, 5, 3, 0, 4, 7], 2: [1, 6, 0, 7, 3, 4, 5], 3: [4, 2, 1, 5, 0, 6, 7], 4: [1, 6, 0, 5, 2, 3, 7], 5: [6, 7, 3, 1, 2, 4, 0], 6: [7, 3, 4, 1, 5, 2, 0], 7: [5, 1, 4, 3, 6, 0, 2]}"
Genetic,complete,8,6,20,0.4055850505828857,798460,"[7, 7, 7, 7, 7, 6, 6, 6, 6, 6, 6, 6]","{0: [6, 3, 2, 1, 5, 4, 7], 1: [0, 4, 6, 7, 2, 3, 5], 2: [1, 3, 7, 4, 0, 5, 6], 3: [0, 6, 4, 5, 1, 2, 7], 4: [2, 6, 0, 5, 3, 7, 1], 5: [0, 1, 3, 2, 7, 6, 4], 6: [2, 1, 0, 3, 4, 7, 5], 7: [5, 0, 4, 3, 1, 6, 2]}"
Genetic,complete,8,6,15,0.3241589069366455,685690,"[7, 7, 7, 7, 6, 6, 6, 6, 6, 6, 6, 6]","{0: [7, 6, 5, 2, 4, 1, 3], 1: [6, 5, 0, 4, 2, 7, 3], 2: [0, 6, 1, 4, 3, 5, 7], 3: [5, 6, 2, 1, 7, 0, 4], 4: [0, 7, 3, 5, 6, 2, 1], 5: [3, 7, 2, 6, 4, 0, 1], 6: [3, 0, 7, 5, 4, 2, 1], 7: [5, 4, 2, 3, 1, 6, 0]}"
