Iteration,Fitness,FitnessEvalTime,Time,State
18,4,2.1618888491675966e-05,0.07748818397521973,"{0: [6, 2, 3, 4, 5, 1], 1: [0, 2, 3, 4, 5, 6], 2: [1, 3, 6, 5, 4, 0], 3: [0, 1, 2, 4, 5, 6], 4: [0, 1, 2, 3, 5, 6], 5: [2, 3, 4, 0, 6, 1], 6: [5, 4, 3, 2, 0, 1]}"
19,4,2.1671113513764882e-05,0.0811452865600586,"{0: [1, 6, 2, 3, 4, 5], 1: [0, 2, 3, 4, 5, 6], 2: [1, 3, 6, 5, 4, 0], 3: [0, 1, 2, 4, 5, 6], 4: [0, 1, 2, 3, 5, 6], 5: [2, 3, 4, 0, 6, 1], 6: [5, 4, 3, 2, 0, 1]}"
20,4,2.1509897141229538e-05,0.08485627174377441,"{0: [5, 4, 3, 2, 6, 1], 1: [6, 5, 4, 3, 2, 0], 2: [0, 4, 5, 6, 3, 1], 3: [6, 5, 4, 2, 1, 0], 4: [6, 5, 3, 2, 1, 0], 5: [1, 6, 0, 4, 3, 2], 6: [1, 0, 2, 3, 4, 5]}"
21,4,2.1516709100632442e-05,0.08854317665100098,"{0: [1, 5, 4, 3, 2, 6], 1: [6, 5, 4, 3, 2, 0], 2: [0, 4, 5, 6, 3, 1], 3: [6, 5, 4, 2, 1, 0], 4: [6, 5, 3, 2, 1, 0], 5: [1, 6, 0, 4, 3, 2], 6: [1, 0, 2, 3, 4, 5]}"
22,4,2.0656131562732513e-05,0.0921180248260498,"{0: [6, 2, 3, 4, 5, 1], 1: [0, 2, 3, 4, 5, 6], 2: [1, 3, 6, 5, 4, 0], 3: [0, 1, 2, 4, 5, 6], 4: [0, 1, 2, 3, 5, 6], 5: [2, 3, 4, 0, 6, 1], 6: [5, 4, 3, 2, 0, 1]}"
23,4,2.197083972749256e-05,0.09584307670593262,"{0: [1, 5, 4, 3, 2, 6], 1: [6, 5, 4, 3, 2, 0], 2: [0, 4, 5, 6, 3, 1], 3: [6, 5, 4, 2, 1, 0], 4: [6, 5, 3, 2, 1, 0], 5: [1, 6, 0, 4, 3, 2], 6: [1, 0, 2, 3, 4, 5]}"
24,4,2.0946775163922992e-05,0.09948420524597168,"{0: [6, 1, 5, 4, 3, 2], 1: [6, 5, 4, 3, 2, 0], 2: [0, 4, 5, 6, 3, 1], 3: [6, 5, 4, 2, 1, 0], 4: [6, 5, 3, 2, 1, 0], 5: [1, 6, 0, 4, 3, 2], 6: [1, 0, 2, 3, 4, 5]}"
25,4,2.0622071765718006e-05,0.10303902626037598,"{0: [2, 3, 4, 5, 1, 6], 1: [0, 2, 3, 4, 5, 6], 2: [1, 3, 6, 5, 4, 0], 3: [0, 1, 2, 4, 5, 6], 4: [0, 1, 2, 3, 5, 6], 5: [2, 3, 4, 0, 6, 1], 6: [5, 4, 3, 2, 0, 1]}"
26,4,2.1807352701822917e-05,0.10689210891723633,"{0: [6, 1, 5, 4, 3, 2], 1: [6, 5, 4, 3, 2, 0], 2: [0, 4, 5, 6, 3, 1], 3: [6, 5, 4, 2, 1, 0], 4: [6, 5, 3, 2, 1, 0], 5: [1, 6, 0, 4, 3, 2], 6: [1, 0, 2, 3, 4, 5]}"
27,4,2.0939963204520088e-05,0.11054635047912598,"{0: [2, 6, 1, 5, 4, 3], 1: [6, 5, 4, 3, 2, 0], 2: [0, 4, 5, 6, 3, 1], 3: [6, 5, 4, 2, 1, 0], 4: [6, 5, 3, 2, 1, 0], 5: [1, 6, 0, 4, 3, 2], 6: [1, 0, 2, 3, 4, 5]}"
28,4,2.5154295421781994e-05,0.11457324028015137,"{0: [3, 4, 5, 1, 6, 2], 1: [0, 2, 3, 4, 5, 6], 2: [1, 3, 6, 5, 4, 0], 3: [0, 1, 2, 4, 5, 6], 4: [0, 1, 2, 3, 5, 6], 5: [2, 3, 4, 0, 6, 1], 6: [5, 4, 3, 2, 0, 1]}"
29,4,2.0969481695265996e-05,0.11841821670532227,"{0: [2, 6, 1, 5, 4, 3], 1: [6, 5, 4, 3, 2, 0], 2: [0, 4, 5, 6, 3, 1], 3: [6, 5, 4, 2, 1, 0], 4: [6, 5, 3, 2, 1, 0], 5: [1, 6, 0, 4, 3, 2], 6: [1, 0, 2, 3, 4, 5]}"
30,4,2.216384524390811e-05,0.12212514877319336,"{0: [3, 4, 5, 1, 6, 2], 1: [0, 2, 3, 4, 5, 6], 2: [1, 3, 6, 5, 4, 0], 3: [0, 1, 2, 4, 5, 6], 4: [0, 1, 2, 3, 5, 6], 5: [2, 3, 4, 0, 6, 1], 6: [5, 4, 3, 2, 0, 1]}"
31,4,2.1003541492280508e-05,0.12572598457336426,"{0: [2, 6, 1, 5, 4, 3], 1: [6, 5, 4, 3, 2, 0], 2: [0, 4, 5, 6, 3, 1], 3: [6, 5, 4, 2, 1, 0], 4: [6, 5, 3, 2, 1, 0], 5: [1, 6, 0, 4, 3, 2], 6: [1, 0, 2, 3, 4, 5]}"
32,4,2.113523937406994e-05,0.12942719459533691,"{0: [3, 2, 6, 1, 5, 4], 1: [6, 5, 4, 3, 2, 0], 2: [0, 4, 5, 6, 3, 1], 3: [6, 5, 4, 2, 1, 0], 4: [6, 5, 3, 2, 1, 0], 5: [1, 6, 0, 4, 3, 2], 6: [1, 0, 2, 3, 4, 5]}"
33,4,2.2175198509579614e-05,0.13320326805114746,"{0: [4, 5, 1, 6, 2, 3], 1: [0, 2, 3, 4, 5, 6], 2: [1, 3, 6, 5, 4, 0], 3: [0, 1, 2, 4, 5, 6], 4: [0, 1, 2, 3, 5, 6], 5: [2, 3, 4, 0, 6, 1], 6: [5, 4, 3, 2, 0, 1]}"
34,4,2.0933151245117187e-05,0.1367952823638916,"{0: [3, 4, 5, 1, 6, 2], 1: [0, 2, 3, 4, 5, 6], 2: [1, 3, 6, 5, 4, 0], 3: [0, 1, 2, 4, 5, 6], 4: [0, 1, 2, 3, 5, 6], 5: [2, 3, 4, 0, 6, 1], 6: [5, 4, 3, 2, 0, 1]}"
35,4,2.09808349609375e-05,0.13683819770812988,"{0: [3, 4, 5, 1, 6, 2], 1: [0, 2, 3, 4, 5, 6], 2: [1, 3, 6, 5, 4, 0], 3: [0, 1, 2, 4, 5, 6], 4: [0, 1, 2, 3, 5, 6], 5: [2, 3, 4, 0, 6, 1], 6: [5, 4, 3, 2, 0, 1]}"
