Rate/Pop_Size,25,50,100,150,200,250
0.05,6.85,6.42,5.99,5.99,5.93,5.04
0.08,6.68,6.11,5.93,5.93,5.92,5.18
0.1,6.58,6.05,5.93,5.96,5.89,5.13
0.13,6.38,6.0,5.98,5.98,5.84,5.33
0.15,6.32,6.0,5.96,5.9,5.88,5.36
0.18,6.23,6.0,5.95,5.88,5.87,5.47
0.2,6.23,5.97,5.91,5.88,5.87,5.47
