Iteration,Fitness,Time,State
13,7,0.157088041305542,"{0: [7, 4, 5, 1, 3, 6, 2], 1: [2, 7, 4, 5, 6, 0, 3], 2: [5, 6, 4, 0, 3, 7, 1], 3: [2, 4, 1, 5, 7, 0, 6], 4: [1, 2, 3, 7, 5, 0, 6], 5: [3, 0, 2, 1, 4, 6, 7], 6: [0, 4, 7, 3, 1, 5, 2], 7: [4, 3, 5, 0, 1, 2, 6]}"
14,7,0.16528105735778809,"{0: [7, 4, 5, 1, 3, 6, 2], 1: [2, 7, 4, 5, 6, 0, 3], 2: [5, 6, 4, 0, 3, 7, 1], 3: [2, 4, 1, 5, 7, 0, 6], 4: [1, 2, 3, 7, 5, 0, 6], 5: [3, 0, 2, 1, 4, 6, 7], 6: [0, 4, 7, 3, 1, 5, 2], 7: [4, 3, 5, 0, 1, 2, 6]}"
15,7,0.17335104942321777,"{0: [7, 4, 5, 1, 3, 6, 2], 1: [2, 7, 4, 5, 6, 0, 3], 2: [5, 6, 4, 0, 3, 7, 1], 3: [2, 4, 1, 5, 7, 0, 6], 4: [1, 2, 3, 7, 5, 0, 6], 5: [3, 0, 2, 1, 4, 6, 7], 6: [0, 4, 7, 3, 1, 5, 2], 7: [4, 3, 5, 0, 1, 2, 6]}"
16,7,0.18130207061767578,"{0: [7, 4, 5, 1, 3, 6, 2], 1: [2, 7, 4, 5, 6, 0, 3], 2: [5, 6, 4, 0, 3, 7, 1], 3: [2, 4, 1, 5, 7, 0, 6], 4: [1, 2, 3, 7, 5, 0, 6], 5: [3, 0, 2, 1, 4, 6, 7], 6: [0, 4, 7, 3, 1, 5, 2], 7: [4, 3, 5, 0, 1, 2, 6]}"
17,7,0.18902993202209473,"{0: [7, 4, 5, 1, 3, 6, 2], 1: [2, 7, 4, 5, 6, 0, 3], 2: [5, 6, 4, 0, 3, 7, 1], 3: [2, 4, 1, 5, 7, 0, 6], 4: [1, 2, 3, 7, 5, 0, 6], 5: [3, 0, 2, 1, 4, 6, 7], 6: [0, 4, 7, 3, 1, 5, 2], 7: [4, 3, 5, 0, 1, 2, 6]}"
18,7,0.19659805297851562,"{0: [7, 4, 5, 1, 3, 6, 2], 1: [2, 7, 4, 5, 6, 0, 3], 2: [5, 6, 4, 0, 3, 7, 1], 3: [2, 4, 1, 5, 7, 0, 6], 4: [1, 2, 3, 7, 5, 0, 6], 5: [3, 0, 2, 1, 4, 6, 7], 6: [0, 4, 7, 3, 1, 5, 2], 7: [4, 3, 5, 0, 1, 2, 6]}"
19,7,0.20438790321350098,"{0: [7, 4, 5, 1, 3, 6, 2], 1: [2, 7, 4, 5, 6, 0, 3], 2: [5, 6, 4, 0, 3, 7, 1], 3: [2, 4, 1, 5, 7, 0, 6], 4: [1, 2, 3, 7, 5, 0, 6], 5: [3, 0, 2, 1, 4, 6, 7], 6: [0, 4, 7, 3, 1, 5, 2], 7: [4, 3, 5, 0, 1, 2, 6]}"
20,7,0.212022066116333,"{0: [7, 4, 5, 1, 3, 6, 2], 1: [2, 7, 4, 5, 6, 0, 3], 2: [5, 6, 4, 0, 3, 7, 1], 3: [2, 4, 1, 5, 7, 0, 6], 4: [1, 2, 3, 7, 5, 0, 6], 5: [3, 0, 2, 1, 4, 6, 7], 6: [0, 4, 7, 3, 1, 5, 2], 7: [4, 3, 5, 0, 1, 2, 6]}"
21,7,0.21966814994812012,"{0: [7, 4, 5, 1, 3, 6, 2], 1: [2, 7, 4, 5, 6, 0, 3], 2: [5, 6, 4, 0, 3, 7, 1], 3: [2, 4, 1, 5, 7, 0, 6], 4: [1, 2, 3, 7, 5, 0, 6], 5: [3, 0, 2, 1, 4, 6, 7], 6: [0, 4, 7, 3, 1, 5, 2], 7: [4, 3, 5, 0, 1, 2, 6]}"
22,7,0.22719383239746094,"{0: [7, 4, 5, 1, 3, 6, 2], 1: [2, 7, 4, 5, 6, 0, 3], 2: [5, 6, 4, 0, 3, 7, 1], 3: [2, 4, 1, 5, 7, 0, 6], 4: [1, 2, 3, 7, 5, 0, 6], 5: [3, 0, 2, 1, 4, 6, 7], 6: [0, 4, 7, 3, 1, 5, 2], 7: [4, 3, 5, 0, 1, 2, 6]}"
23,7,0.23470497131347656,"{0: [7, 4, 5, 1, 3, 6, 2], 1: [2, 7, 4, 5, 6, 0, 3], 2: [5, 6, 4, 0, 3, 7, 1], 3: [2, 4, 1, 5, 7, 0, 6], 4: [1, 2, 3, 7, 5, 0, 6], 5: [3, 0, 2, 1, 4, 6, 7], 6: [0, 4, 7, 3, 1, 5, 2], 7: [4, 3, 5, 0, 1, 2, 6]}"
24,7,0.24222016334533691,"{0: [7, 4, 5, 1, 3, 6, 2], 1: [2, 7, 4, 5, 6, 0, 3], 2: [5, 6, 4, 0, 3, 7, 1], 3: [2, 4, 1, 5, 7, 0, 6], 4: [1, 2, 3, 7, 5, 0, 6], 5: [3, 0, 2, 1, 4, 6, 7], 6: [0, 4, 7, 3, 1, 5, 2], 7: [4, 3, 5, 0, 1, 2, 6]}"
25,7,0.24976277351379395,"{0: [7, 4, 5, 1, 3, 6, 2], 1: [2, 7, 4, 5, 6, 0, 3], 2: [5, 6, 4, 0, 3, 7, 1], 3: [2, 4, 1, 5, 7, 0, 6], 4: [1, 2, 3, 7, 5, 0, 6], 5: [3, 0, 2, 1, 4, 6, 7], 6: [0, 4, 7, 3, 1, 5, 2], 7: [4, 3, 5, 0, 1, 2, 6]}"
26,7,0.25731492042541504,"{0: [7, 4, 5, 1, 3, 6, 2], 1: [2, 7, 4, 5, 6, 0, 3], 2: [5, 6, 4, 0, 3, 7, 1], 3: [2, 4, 1, 5, 7, 0, 6], 4: [1, 2, 3, 7, 5, 0, 6], 5: [3, 0, 2, 1, 4, 6, 7], 6: [0, 4, 7, 3, 1, 5, 2], 7: [4, 3, 5, 0, 1, 2, 6]}"
27,7,0.2650470733642578,"{0: [7, 4, 5, 1, 3, 6, 2], 1: [2, 7, 4, 5, 6, 0, 3], 2: [5, 6, 4, 0, 3, 7, 1], 3: [2, 4, 1, 5, 7, 0, 6], 4: [1, 2, 3, 7, 5, 0, 6], 5: [3, 0, 2, 1, 4, 6, 7], 6: [0, 4, 7, 3, 1, 5, 2], 7: [4, 3, 5, 0, 1, 2, 6]}"
1,8,0.00793910026550293,"{0: [4, 1, 7, 2, 5, 6, 3], 1: [5, 3, 7, 4, 0, 2, 6], 2: [7, 3, 6, 0, 4, 1, 5], 3: [1, 6, 4, 5, 0, 2, 7], 4: [1, 7, 5, 3, 2, 0, 6], 5: [7, 4, 3, 6, 1, 2, 0], 6: [7, 5, 4, 2, 3, 1, 0], 7: [2, 1, 3, 6, 0, 5, 4]}"
2,8,0.015698909759521484,"{0: [4, 1, 7, 2, 5, 6, 3], 1: [5, 3, 7, 4, 0, 2, 6], 2: [7, 3, 6, 0, 4, 1, 5], 3: [1, 6, 4, 5, 0, 2, 7], 4: [1, 7, 5, 3, 2, 0, 6], 5: [7, 4, 3, 6, 1, 2, 0], 6: [7, 5, 4, 2, 3, 1, 0], 7: [2, 1, 3, 6, 0, 5, 4]}"
