Algorithm,Bracket,Final Fitness,Plato,Time,Seed,Fitness List,Final State
Genetic,"[1, 1, 2, 2]",3,2,0.0420262813568115,69412,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]","{0: [6, 9, 7, 11], 1: [7, 6, 10, 8], 2: [8, 9, 7, 11], 3: [9, 8, 6, 10], 4: [10, 11, 7, 9], 5: [11, 6, 10, 8], 6: [0, 3, 5, 1], 7: [0, 1, 4, 2], 8: [1, 3, 2, 5], 9: [0, 2, 4, 3], 10: [1, 3, 4, 5], 11: [0, 5, 2, 4]}"
Genetic,"[1, 1, 2, 2]",3,20,0.2473349571228027,235063,"[4, 4, 4, 4, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3]","{0: [6, 7, 9, 11], 1: [7, 6, 8, 10], 2: [8, 9, 11, 7], 3: [9, 10, 8, 6], 4: [10, 9, 11, 7], 5: [11, 6, 8, 10], 6: [0, 5, 3, 1], 7: [0, 1, 4, 2], 8: [1, 5, 2, 3], 9: [0, 3, 2, 4], 10: [1, 3, 5, 4], 11: [0, 4, 5, 2]}"
Genetic,"[1, 1, 2, 2]",3,20,0.3110241889953613,631997,"[4, 4, 4, 4, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3]","{0: [6, 9, 7, 11], 1: [7, 10, 8, 6], 2: [8, 7, 11, 9], 3: [8, 9, 10, 6], 4: [10, 7, 9, 11], 5: [11, 8, 10, 6], 6: [0, 5, 1, 3], 7: [0, 1, 2, 4], 8: [1, 5, 2, 3], 9: [0, 3, 2, 4], 10: [1, 4, 5, 3], 11: [4, 0, 5, 2]}"
Genetic,"[1, 1, 2, 2]",3,30,0.4146769046783447,977519,"[4, 4, 4, 4, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3]","{0: [6, 9, 11, 7], 1: [7, 6, 8, 10], 2: [8, 7, 9, 11], 3: [9, 10, 6, 8], 4: [10, 7, 11, 9], 5: [11, 8, 6, 10], 6: [0, 5, 1, 3], 7: [0, 4, 2, 1], 8: [1, 2, 3, 5], 9: [4, 0, 2, 3], 10: [5, 1, 3, 4], 11: [0, 5, 2, 4]}"
Genetic,"[1, 1, 2, 2]",3,2,0.0392940044403076,422587,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]","{0: [6, 9, 7, 11], 1: [7, 10, 8, 6], 2: [8, 9, 7, 11], 3: [9, 6, 8, 10], 4: [10, 9, 11, 7], 5: [11, 8, 10, 6], 6: [0, 5, 1, 3], 7: [0, 4, 2, 1], 8: [1, 5, 2, 3], 9: [0, 3, 2, 4], 10: [1, 3, 5, 4], 11: [0, 2, 5, 4]}"
Genetic,"[1, 1, 2, 2]",3,6,0.0832870006561279,748382,"[4, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]","{0: [6, 11, 7, 9], 1: [7, 10, 6, 8], 2: [8, 7, 11, 9], 3: [9, 8, 10, 6], 4: [10, 9, 7, 11], 5: [11, 8, 6, 10], 6: [0, 3, 5, 1], 7: [0, 2, 1, 4], 8: [1, 5, 3, 2], 9: [0, 4, 2, 3], 10: [1, 5, 4, 3], 11: [0, 5, 2, 4]}"
Genetic,"[1, 1, 2, 2]",3,30,0.3390049934387207,653379,"[4, 4, 4, 4, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3]","{0: [11, 7, 6, 9], 1: [7, 10, 8, 6], 2: [8, 11, 9, 7], 3: [9, 6, 8, 10], 4: [10, 7, 11, 9], 5: [11, 6, 10, 8], 6: [0, 1, 3, 5], 7: [0, 2, 4, 1], 8: [3, 1, 2, 5], 9: [0, 3, 2, 4], 10: [1, 3, 4, 5], 11: [0, 4, 2, 5]}"
Genetic,"[1, 1, 2, 2]",2,3359,36.45821809768677,803442,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 2]","{0: [9, 6, 11, 7], 1: [8, 10, 7, 6], 2: [7, 11, 8, 9], 3: [8, 9, 6, 10], 4: [7, 9, 10, 11], 5: [8, 11, 6, 10], 6: [3, 1, 0, 5], 7: [2, 4, 1, 0], 8: [2, 5, 3, 1], 9: [2, 3, 0, 4], 10: [3, 5, 4, 1], 11: [0, 4, 2, 5]}"
Genetic,"[1, 1, 2, 2]",3,8,0.1058578491210937,376978,"[4, 4, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]","{0: [6, 11, 7, 9], 1: [7, 10, 6, 8], 2: [8, 11, 7, 9], 3: [9, 10, 6, 8], 4: [10, 7, 9, 11], 5: [11, 8, 6, 10], 6: [0, 1, 5, 3], 7: [0, 4, 1, 2], 8: [1, 3, 5, 2], 9: [0, 2, 4, 3], 10: [1, 4, 3, 5], 11: [0, 4, 2, 5]}"
Genetic,"[1, 1, 2, 2]",3,5,0.0750379562377929,525077,"[4, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]","{0: [6, 7, 11, 9], 1: [7, 8, 6, 10], 2: [8, 9, 7, 11], 3: [9, 10, 6, 8], 4: [10, 7, 9, 11], 5: [11, 10, 6, 8], 6: [0, 5, 3, 1], 7: [0, 1, 2, 4], 8: [1, 5, 3, 2], 9: [0, 4, 2, 3], 10: [1, 3, 4, 5], 11: [0, 2, 5, 4]}"
Genetic,"[1, 1, 2, 2]",2,5789,64.10710883140564,734766,"[4, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2]","{0: [6, 7, 9, 11], 1: [8, 7, 6, 10], 2: [11, 9, 7, 8], 3: [10, 9, 6, 8], 4: [10, 7, 11, 9], 5: [8, 11, 6, 10], 6: [5, 1, 0, 3], 7: [0, 1, 2, 4], 8: [2, 3, 5, 1], 9: [4, 0, 2, 3], 10: [4, 3, 1, 5], 11: [2, 5, 0, 4]}"
Genetic,"[1, 1, 2, 2]",3,61,0.6994450092315674,264747,"[4, 4, 4, 4, 4, 4, 3, 3, 3, 3, 3, 3, 3, 3]","{0: [7, 6, 11, 9], 1: [7, 10, 8, 6], 2: [11, 9, 8, 7], 3: [9, 10, 6, 8], 4: [11, 7, 10, 9], 5: [11, 10, 8, 6], 6: [0, 1, 5, 3], 7: [0, 2, 4, 1], 8: [1, 3, 5, 2], 9: [3, 4, 0, 2], 10: [1, 5, 4, 3], 11: [4, 2, 5, 0]}"
Genetic,"[1, 1, 2, 2]",3,8,0.1086158752441406,550576,"[4, 4, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]","{0: [6, 7, 11, 9], 1: [7, 6, 8, 10], 2: [7, 8, 9, 11], 3: [9, 10, 6, 8], 4: [10, 9, 11, 7], 5: [11, 10, 6, 8], 6: [0, 5, 3, 1], 7: [0, 1, 4, 2], 8: [1, 3, 5, 2], 9: [0, 3, 4, 2], 10: [1, 4, 5, 3], 11: [0, 2, 4, 5]}"
Genetic,"[1, 1, 2, 2]",3,1,0.0299978256225585,950697,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]","{0: [6, 11, 7, 9], 1: [7, 10, 6, 8], 2: [8, 7, 9, 11], 3: [9, 6, 8, 10], 4: [10, 7, 11, 9], 5: [11, 10, 8, 6], 6: [0, 5, 3, 1], 7: [0, 1, 4, 2], 8: [1, 3, 5, 2], 9: [0, 2, 3, 4], 10: [1, 4, 3, 5], 11: [0, 5, 4, 2]}"
Genetic,"[1, 1, 2, 2]",3,48,0.5401549339294434,912732,"[4, 4, 4, 4, 4, 4, 3, 3, 3, 3, 3, 3, 3, 3]","{0: [6, 11, 9, 7], 1: [7, 6, 10, 8], 2: [8, 7, 11, 9], 3: [9, 10, 6, 8], 4: [11, 9, 10, 7], 5: [11, 6, 10, 8], 6: [0, 3, 5, 1], 7: [4, 1, 2, 0], 8: [1, 3, 2, 5], 9: [2, 0, 3, 4], 10: [1, 5, 3, 4], 11: [2, 0, 5, 4]}"
Genetic,"[1, 1, 2, 2]",3,6,0.0784330368041992,365389,"[4, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]","{0: [6, 11, 9, 7], 1: [7, 10, 8, 6], 2: [8, 9, 7, 11], 3: [9, 6, 10, 8], 4: [10, 7, 9, 11], 5: [11, 6, 8, 10], 6: [0, 3, 5, 1], 7: [0, 2, 4, 1], 8: [1, 5, 2, 3], 9: [0, 3, 4, 2], 10: [1, 3, 4, 5], 11: [0, 5, 4, 2]}"
Genetic,"[1, 1, 2, 2]",3,5,0.0681452751159668,353044,"[4, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]","{0: [6, 7, 9, 11], 1: [7, 6, 10, 8], 2: [8, 11, 7, 9], 3: [9, 10, 6, 8], 4: [10, 11, 9, 7], 5: [11, 6, 8, 10], 6: [0, 1, 5, 3], 7: [0, 4, 2, 1], 8: [1, 5, 3, 2], 9: [0, 2, 4, 3], 10: [3, 5, 1, 4], 11: [0, 2, 5, 4]}"
Genetic,"[1, 1, 2, 2]",3,2,0.0382530689239501,521501,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]","{0: [6, 9, 11, 7], 1: [7, 8, 6, 10], 2: [8, 7, 9, 11], 3: [9, 6, 8, 10], 4: [10, 11, 7, 9], 5: [11, 10, 6, 8], 6: [0, 5, 1, 3], 7: [0, 4, 2, 1], 8: [1, 5, 2, 3], 9: [0, 3, 4, 2], 10: [1, 5, 4, 3], 11: [0, 4, 5, 2]}"
Genetic,"[1, 1, 2, 2]",2,6207,2117.2110159397125,612492,"[4, 4, 4, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2]","{0: [9, 11, 7, 6], 1: [8, 6, 7, 10], 2: [8, 7, 11, 9], 3: [6, 8, 9, 10], 4: [9, 11, 7, 10], 5: [10, 11, 8, 6], 6: [5, 0, 1, 3], 7: [1, 0, 2, 4], 8: [3, 1, 2, 5], 9: [0, 2, 4, 3], 10: [5, 3, 1, 4], 11: [5, 4, 2, 0]}"
Genetic,"[1, 1, 2, 2]",3,8,0.0993750095367431,162258,"[4, 4, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]","{0: [6, 9, 7, 11], 1: [7, 8, 6, 10], 2: [9, 8, 11, 7], 3: [9, 8, 6, 10], 4: [10, 9, 11, 7], 5: [11, 6, 8, 10], 6: [0, 3, 5, 1], 7: [0, 1, 2, 4], 8: [1, 2, 5, 3], 9: [0, 3, 4, 2], 10: [1, 3, 5, 4], 11: [4, 5, 0, 2]}"
