Iteration,Fitness,FitnessEvalTime,Time,State
21,3,1.4070669809977213e-05,0.029196739196777344,"{0: [5, 1, 2, 3, 4], 1: [2, 3, 0, 4, 5], 2: [1, 5, 0, 4, 3], 3: [1, 2, 0, 5, 4], 4: [0, 1, 5, 2, 3], 5: [4, 1, 3, 2, 0]}"
22,3,1.3275941212972004e-05,0.0305788516998291,"{0: [5, 1, 2, 3, 4], 1: [2, 3, 0, 4, 5], 2: [1, 5, 0, 4, 3], 3: [1, 2, 0, 5, 4], 4: [0, 1, 5, 2, 3], 5: [4, 1, 3, 2, 0]}"
23,3,1.2854735056559244e-05,0.031900882720947266,"{0: [5, 1, 2, 3, 4], 1: [2, 3, 0, 4, 5], 2: [1, 5, 0, 4, 3], 3: [1, 2, 0, 5, 4], 4: [0, 1, 5, 2, 3], 5: [4, 1, 3, 2, 0]}"
24,3,1.2731552124023437e-05,0.03321504592895508,"{0: [5, 1, 2, 3, 4], 1: [2, 3, 0, 4, 5], 2: [1, 5, 0, 4, 3], 3: [1, 2, 0, 5, 4], 4: [0, 1, 5, 2, 3], 5: [4, 1, 3, 2, 0]}"
25,3,1.2747446695963542e-05,0.03452801704406738,"{0: [5, 1, 2, 3, 4], 1: [2, 3, 0, 4, 5], 2: [1, 5, 0, 4, 3], 3: [1, 2, 0, 5, 4], 4: [0, 1, 5, 2, 3], 5: [4, 1, 3, 2, 0]}"
26,3,1.270771026611328e-05,0.03584885597229004,"{0: [5, 1, 2, 3, 4], 1: [2, 3, 0, 4, 5], 2: [1, 5, 0, 4, 3], 3: [1, 2, 0, 5, 4], 4: [0, 1, 5, 2, 3], 5: [4, 1, 3, 2, 0]}"
1,2,1.5052159627278646e-05,0.0014679431915283203,"{0: [2, 5, 1, 4, 3], 1: [3, 2, 0, 4, 5], 2: [0, 1, 3, 4, 5], 3: [0, 2, 1, 5, 4], 4: [1, 5, 2, 0, 3], 5: [4, 3, 1, 0, 2]}"
2,2,1.387198766072591e-05,0.0029828548431396484,"{0: [2, 5, 1, 4, 3], 1: [3, 2, 0, 4, 5], 2: [0, 1, 3, 4, 5], 3: [0, 2, 1, 5, 4], 4: [1, 5, 2, 0, 3], 5: [4, 3, 1, 0, 2]}"
3,2,1.2660026550292969e-05,0.0043756961822509766,"{0: [2, 5, 1, 4, 3], 1: [3, 2, 0, 4, 5], 2: [0, 1, 3, 4, 5], 3: [0, 2, 1, 5, 4], 4: [1, 5, 2, 0, 3], 5: [4, 3, 1, 0, 2]}"
4,2,1.2429555257161458e-05,0.00568389892578125,"{0: [2, 5, 1, 4, 3], 1: [3, 2, 0, 4, 5], 2: [0, 1, 3, 4, 5], 3: [0, 2, 1, 5, 4], 4: [1, 5, 2, 0, 3], 5: [4, 3, 1, 0, 2]}"
5,2,1.2389818827311198e-05,0.006978750228881836,"{0: [2, 5, 1, 4, 3], 1: [3, 2, 0, 4, 5], 2: [0, 1, 3, 4, 5], 3: [0, 2, 1, 5, 4], 4: [1, 5, 2, 0, 3], 5: [4, 3, 1, 0, 2]}"
6,2,1.2393792470296224e-05,0.008267641067504883,"{0: [2, 5, 1, 4, 3], 1: [3, 2, 0, 4, 5], 2: [0, 1, 3, 4, 5], 3: [0, 2, 1, 5, 4], 4: [1, 5, 2, 0, 3], 5: [4, 3, 1, 0, 2]}"
