Algorithm,Number of Nodes,Final Fitness,Plato,Time,Seed,Fitness List,Final State
Genetic,11,17,74,2.9345099925994877,647132,"[18, 18, 18, 18, 18, 18, 18, 17, 17, 17, 17]","{0: [8, 4, 1, 9, 3, 5, 6, 7, 2, 10], 1: [9, 2, 4, 0, 8, 3, 7, 10, 6, 5], 2: [1, 9, 4, 0, 5, 7, 3, 10, 6, 8], 3: [0, 9, 8, 10, 6, 1, 5, 2, 4, 7], 4: [3, 9, 7, 10, 5, 0, 2, 6, 8, 1], 5: [0, 2, 7, 8, 1, 4, 10, 3, 6, 9], 6: [3, 1, 2, 5, 4, 7, 9, 8, 10, 0], 7: [0, 1, 10, 5, 6, 8, 9, 2, 3, 4], 8: [3, 4, 1, 7, 6, 2, 10, 9, 5, 0], 9: [0, 4, 7, 10, 3, 6, 2, 1, 8, 5], 10: [9, 5, 4, 7, 1, 6, 2, 3, 8, 0]}"
Genetic,11,18,2,0.1261529922485351,73354,"[18, 18, 18, 18, 18, 18, 18, 18, 18, 18]","{0: [1, 9, 10, 8, 7, 2, 3, 5, 6, 4], 1: [0, 4, 3, 2, 10, 7, 6, 5, 8, 9], 2: [0, 5, 10, 7, 8, 9, 3, 4, 6, 1], 3: [0, 5, 6, 9, 1, 7, 10, 4, 8, 2], 4: [0, 2, 1, 6, 8, 7, 9, 10, 5, 3], 5: [0, 6, 3, 7, 2, 8, 4, 10, 9, 1], 6: [0, 1, 4, 8, 3, 7, 10, 2, 9, 5], 7: [0, 8, 9, 6, 3, 1, 10, 4, 2, 5], 8: [0, 4, 10, 3, 9, 5, 6, 7, 2, 1], 9: [0, 4, 6, 2, 7, 3, 1, 5, 10, 8], 10: [0, 9, 2, 4, 3, 7, 5, 1, 6, 8]}"
Genetic,11,17,18,0.7424700260162354,436813,"[18, 18, 18, 18, 17, 17, 17, 17, 17, 17]","{0: [1, 6, 5, 9, 3, 4, 8, 10, 2, 7], 1: [0, 7, 6, 10, 3, 9, 5, 2, 4, 8], 2: [0, 5, 1, 7, 3, 9, 4, 8, 6, 10], 3: [0, 1, 7, 9, 5, 10, 2, 6, 8, 4], 4: [3, 7, 10, 5, 1, 0, 6, 8, 9, 2], 5: [0, 7, 1, 6, 9, 3, 8, 2, 4, 10], 6: [0, 8, 4, 2, 7, 1, 3, 5, 10, 9], 7: [0, 9, 6, 10, 1, 5, 3, 8, 4, 2], 8: [10, 3, 9, 6, 1, 7, 0, 5, 2, 4], 9: [0, 8, 7, 3, 6, 4, 5, 10, 2, 1], 10: [3, 0, 1, 5, 4, 9, 7, 8, 2, 6]}"
Genetic,11,18,29,1.1793911457061768,794100,"[19, 19, 19, 19, 19, 18, 18, 18, 18, 18, 18]","{0: [10, 1, 4, 8, 9, 3, 7, 2, 5, 6], 1: [0, 5, 6, 10, 3, 8, 4, 9, 2, 7], 2: [0, 1, 7, 6, 5, 4, 10, 8, 9, 3], 3: [2, 4, 10, 5, 1, 0, 8, 9, 7, 6], 4: [0, 1, 3, 8, 5, 2, 6, 7, 9, 10], 5: [7, 1, 3, 0, 4, 6, 2, 10, 9, 8], 6: [0, 3, 7, 9, 1, 4, 5, 8, 2, 10], 7: [0, 4, 8, 1, 3, 5, 2, 10, 9, 6], 8: [0, 10, 6, 4, 3, 2, 5, 1, 9, 7], 9: [0, 1, 5, 8, 3, 6, 4, 7, 2, 10], 10: [8, 3, 0, 6, 2, 9, 1, 4, 7, 5]}"
Genetic,11,17,80,3.2054929733276367,608776,"[18, 18, 18, 18, 18, 18, 18, 17, 17, 17, 17]","{0: [1, 9, 7, 6, 5, 3, 2, 10, 8, 4], 1: [0, 7, 3, 2, 4, 10, 5, 8, 6, 9], 2: [0, 7, 9, 10, 5, 4, 1, 6, 3, 8], 3: [4, 10, 9, 7, 0, 2, 5, 8, 1, 6], 4: [0, 9, 2, 10, 5, 7, 1, 3, 6, 8], 5: [0, 3, 9, 4, 8, 2, 1, 10, 7, 6], 6: [2, 0, 4, 3, 5, 1, 10, 9, 7, 8], 7: [0, 6, 3, 5, 2, 1, 9, 8, 10, 4], 8: [0, 2, 5, 3, 10, 1, 6, 9, 4, 7], 9: [5, 3, 10, 0, 4, 7, 2, 1, 8, 6], 10: [0, 3, 9, 1, 7, 6, 8, 2, 4, 5]}"
Genetic,11,17,923,35.956610918045044,403026,"[18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 17]","{0: [5, 2, 4, 10, 1, 3, 7, 8, 9, 6], 1: [7, 2, 5, 3, 9, 8, 6, 0, 10, 4], 2: [3, 8, 4, 5, 9, 10, 0, 1, 7, 6], 3: [10, 8, 4, 9, 7, 2, 1, 6, 5, 0], 4: [5, 6, 1, 7, 8, 2, 9, 0, 10, 3], 5: [4, 7, 8, 10, 6, 1, 0, 2, 9, 3], 6: [9, 7, 0, 4, 1, 10, 8, 3, 5, 2], 7: [9, 3, 5, 8, 0, 2, 1, 6, 4, 10], 8: [6, 3, 2, 4, 10, 1, 0, 7, 5, 9], 9: [2, 8, 10, 3, 0, 5, 4, 6, 7, 1], 10: [9, 8, 7, 1, 2, 4, 0, 3, 5, 6]}"
Genetic,11,17,379,14.757887840270996,754011,"[18, 18, 18, 18, 18, 18, 18, 18, 18, 17, 17]","{0: [4, 2, 8, 9, 5, 3, 1, 7, 10, 6], 1: [7, 3, 8, 0, 4, 9, 6, 5, 2, 10], 2: [0, 5, 6, 4, 7, 10, 8, 9, 3, 1], 3: [7, 10, 1, 8, 6, 5, 9, 4, 0, 2], 4: [8, 6, 1, 7, 0, 9, 3, 5, 10, 2], 5: [2, 6, 0, 4, 8, 7, 1, 10, 9, 3], 6: [9, 3, 7, 0, 2, 1, 10, 4, 8, 5], 7: [1, 5, 4, 0, 3, 6, 10, 2, 9, 8], 8: [7, 10, 5, 0, 1, 3, 2, 9, 6, 4], 9: [8, 7, 2, 5, 0, 3, 10, 1, 6, 4], 10: [2, 7, 4, 5, 6, 0, 9, 3, 1, 8]}"
Genetic,11,17,382,15.076804876327516,845723,"[18, 18, 18, 18, 18, 18, 18, 18, 18, 17, 17]","{0: [8, 5, 9, 6, 4, 7, 1, 10, 2, 3], 1: [3, 9, 7, 10, 6, 0, 5, 4, 2, 8], 2: [5, 1, 9, 4, 7, 8, 3, 0, 6, 10], 3: [2, 9, 1, 5, 8, 7, 4, 6, 10, 0], 4: [1, 7, 0, 9, 10, 8, 5, 6, 3, 2], 5: [4, 3, 10, 1, 7, 8, 9, 2, 0, 6], 6: [10, 7, 1, 3, 9, 2, 8, 0, 4, 5], 7: [9, 3, 6, 5, 2, 0, 4, 10, 1, 8], 8: [1, 0, 6, 5, 10, 2, 7, 4, 3, 9], 9: [7, 0, 8, 3, 6, 4, 10, 2, 1, 5], 10: [5, 9, 7, 1, 3, 2, 4, 0, 8, 6]}"
Genetic,11,17,504,19.800141096115112,51418,"[18, 18, 18, 18, 18, 18, 18, 18, 18, 17, 17]","{0: [5, 8, 9, 1, 10, 2, 7, 4, 3, 6], 1: [2, 9, 8, 0, 5, 3, 7, 6, 4, 10], 2: [9, 0, 6, 7, 1, 10, 5, 4, 8, 3], 3: [4, 9, 10, 2, 7, 0, 1, 6, 8, 5], 4: [8, 0, 1, 9, 2, 10, 3, 6, 7, 5], 5: [10, 3, 0, 6, 7, 2, 4, 8, 1, 9], 6: [10, 9, 4, 5, 0, 1, 3, 7, 2, 8], 7: [2, 1, 6, 5, 10, 8, 0, 3, 4, 9], 8: [3, 4, 1, 7, 9, 6, 10, 5, 2, 0], 9: [1, 10, 2, 4, 3, 8, 7, 0, 5, 6], 10: [0, 5, 3, 9, 6, 4, 8, 1, 7, 2]}"
Genetic,11,17,13,0.5645310878753662,59852,"[18, 18, 18, 18, 17, 17, 17, 17, 17, 17]","{0: [1, 9, 2, 5, 3, 4, 6, 10, 7, 8], 1: [0, 5, 4, 7, 2, 9, 6, 10, 3, 8], 2: [0, 1, 4, 3, 8, 5, 9, 10, 7, 6], 3: [0, 6, 8, 1, 7, 5, 10, 9, 4, 2], 4: [0, 8, 3, 2, 1, 5, 6, 9, 7, 10], 5: [0, 8, 4, 10, 1, 6, 7, 2, 3, 9], 6: [0, 8, 4, 10, 1, 9, 3, 5, 2, 7], 7: [0, 3, 9, 4, 10, 5, 6, 2, 8, 1], 8: [9, 1, 2, 0, 7, 5, 4, 6, 10, 3], 9: [0, 8, 10, 4, 3, 7, 6, 1, 2, 5], 10: [0, 7, 9, 6, 4, 3, 5, 8, 2, 1]}"
