Iteration,Fitness,FitnessEvalTime,Time,State
14,5,3.080140976678758e-05,0.12543201446533203,"{0: [6, 5, 4, 7, 1, 2, 3], 1: [7, 6, 5, 4, 3, 2, 0], 2: [7, 6, 4, 0, 1, 3, 5], 3: [0, 4, 7, 6, 5, 2, 1], 4: [7, 6, 5, 3, 2, 1, 0], 5: [4, 0, 1, 2, 3, 6, 7], 6: [0, 1, 4, 7, 5, 3, 2], 7: [5, 6, 4, 1, 0, 2, 3]}"
15,5,2.9553969701131184e-05,0.13311290740966797,"{0: [3, 6, 5, 4, 7, 1, 2], 1: [7, 6, 5, 4, 3, 2, 0], 2: [7, 6, 4, 0, 1, 3, 5], 3: [0, 4, 7, 6, 5, 2, 1], 4: [7, 6, 5, 3, 2, 1, 0], 5: [4, 0, 1, 2, 3, 6, 7], 6: [0, 1, 4, 7, 5, 3, 2], 7: [5, 6, 4, 1, 0, 2, 3]}"
16,5,2.9708657945905414e-05,0.14078712463378906,"{0: [2, 1, 7, 4, 5, 6, 3], 1: [0, 2, 3, 4, 5, 6, 7], 2: [5, 3, 1, 0, 4, 6, 7], 3: [1, 2, 5, 6, 7, 4, 0], 4: [0, 1, 2, 3, 5, 6, 7], 5: [7, 6, 3, 2, 1, 0, 4], 6: [2, 3, 5, 7, 4, 1, 0], 7: [3, 2, 0, 1, 4, 6, 5]}"
17,5,2.972426868620373e-05,0.1485140323638916,"{0: [3, 6, 5, 4, 7, 1, 2], 1: [7, 6, 5, 4, 3, 2, 0], 2: [7, 6, 4, 0, 1, 3, 5], 3: [0, 4, 7, 6, 5, 2, 1], 4: [7, 6, 5, 3, 2, 1, 0], 5: [4, 0, 1, 2, 3, 6, 7], 6: [0, 1, 4, 7, 5, 3, 2], 7: [5, 6, 4, 1, 0, 2, 3]}"
18,5,2.9874699456351144e-05,0.1563098430633545,"{0: [2, 1, 7, 4, 5, 6, 3], 1: [0, 2, 3, 4, 5, 6, 7], 2: [5, 3, 1, 0, 4, 6, 7], 3: [1, 2, 5, 6, 7, 4, 0], 4: [0, 1, 2, 3, 5, 6, 7], 5: [7, 6, 3, 2, 1, 0, 4], 6: [2, 3, 5, 7, 4, 1, 0], 7: [3, 2, 0, 1, 4, 6, 5]}"
19,5,3.0360051563807895e-05,0.16421914100646973,"{0: [3, 2, 1, 7, 4, 5, 6], 1: [0, 2, 3, 4, 5, 6, 7], 2: [5, 3, 1, 0, 4, 6, 7], 3: [1, 2, 5, 6, 7, 4, 0], 4: [0, 1, 2, 3, 5, 6, 7], 5: [7, 6, 3, 2, 1, 0, 4], 6: [2, 3, 5, 7, 4, 1, 0], 7: [3, 2, 0, 1, 4, 6, 5]}"
20,5,2.9832124710083008e-05,0.17192602157592773,"{0: [6, 5, 4, 7, 1, 2, 3], 1: [7, 6, 5, 4, 3, 2, 0], 2: [7, 6, 4, 0, 1, 3, 5], 3: [0, 4, 7, 6, 5, 2, 1], 4: [7, 6, 5, 3, 2, 1, 0], 5: [4, 0, 1, 2, 3, 6, 7], 6: [0, 1, 4, 7, 5, 3, 2], 7: [5, 6, 4, 1, 0, 2, 3]}"
21,5,3.1489701498122445e-05,0.18024420738220215,"{0: [3, 6, 5, 4, 7, 1, 2], 1: [7, 6, 5, 4, 3, 2, 0], 2: [7, 6, 4, 0, 1, 3, 5], 3: [0, 4, 7, 6, 5, 2, 1], 4: [7, 6, 5, 3, 2, 1, 0], 5: [4, 0, 1, 2, 3, 6, 7], 6: [0, 1, 4, 7, 5, 3, 2], 7: [5, 6, 4, 1, 0, 2, 3]}"
22,5,3.071767943246024e-05,0.18817925453186035,"{0: [2, 3, 6, 5, 4, 7, 1], 1: [7, 6, 5, 4, 3, 2, 0], 2: [7, 6, 4, 0, 1, 3, 5], 3: [0, 4, 7, 6, 5, 2, 1], 4: [7, 6, 5, 3, 2, 1, 0], 5: [4, 0, 1, 2, 3, 6, 7], 6: [0, 1, 4, 7, 5, 3, 2], 7: [5, 6, 4, 1, 0, 2, 3]}"
23,5,3.0629691623506094e-05,0.19614601135253906,"{0: [1, 2, 3, 6, 5, 4, 7], 1: [7, 6, 5, 4, 3, 2, 0], 2: [7, 6, 4, 0, 1, 3, 5], 3: [0, 4, 7, 6, 5, 2, 1], 4: [7, 6, 5, 3, 2, 1, 0], 5: [4, 0, 1, 2, 3, 6, 7], 6: [0, 1, 4, 7, 5, 3, 2], 7: [5, 6, 4, 1, 0, 2, 3]}"
